species,latinFamily,subfamily,tribe_genus,genes,sex,ID,body.mass.g,head.weight.g,IT.mm,brain.fresh.mg,brain.fix.mg,no.optic.lobes.weight.mg,country
Anthidium_manicatum,Megachilidae,Megachilinae,Anthidiini,yes,M,US157,NA,NA,3.556,NA,2.339,NA,US_MA
Anthidium_manicatum,Megachilidae,Megachilinae,Anthidiini,yes,F,id_F28,0.0366,0.0093,2.71,NA,1.11,NA,Spain
Anthidium_manicatum,Megachilidae,Megachilinae,Anthidiini,yes,M,id_35,0.128,NA,3.736,2.5,3.3,NA,USA
Anthidium_manicatum,Megachilidae,Megachilinae,Anthidiini,yes,M,id_22,0.138,NA,3.843,2.5,2.8,NA,USA
Anthidium_manicatum,Megachilidae,Megachilinae,Anthidiini,yes,F,id_F12,0.0662,0.015,3.15,NA,2.66,NA,Spain
Anthidium_oblongatum,Megachilidae,Megachilinae,Anthidiini,yes,F,id_53,0.043,NA,2.679,1.5,1.8,NA,USA
Anthidium_oblongatum,Megachilidae,Megachilinae,Anthidiini,yes,M,id_47,0.054,NA,2.8,1.5,NA,NA,USA
Anthidium_oblongatum,Megachilidae,Megachilinae,Anthidiini,yes,F,id_37,0.046,NA,2.75,1.5,NA,NA,USA
Anthidium_oblongatum,Megachilidae,Megachilinae,Anthidiini,yes,M,US106,NA,NA,2.794,NA,1.969,NA,US_MA
Anthidium_oblongatum,Megachilidae,Megachilinae,Anthidiini,yes,M,id_65,0.0505,NA,3.94,1.3,NA,NA,USA
Anthidium_oblongatum,Megachilidae,Megachilinae,Anthidiini,yes,M,id_38,0.074,NA,4.46,2.1,NA,NA,USA
Anthidium_oblongatum,Megachilidae,Megachilinae,Anthidiini,yes,M,id_F2,0.0437,0.0102,2.624,NA,1.52,0.683,Spain
Anthidium_oblongatum,Megachilidae,Megachilinae,Anthidiini,yes,F,id_41,0.069,NA,4.23,1.5,NA,NA,USA
Anthidium_oblongatum,Megachilidae,Megachilinae,Anthidiini,yes,M,US105,NA,NA,2.9845,NA,1.147,NA,US_MA
Anthidium_oblongatum,Megachilidae,Megachilinae,Anthidiini,yes,M,US060,NA,NA,2.8575,NA,1.512,NA,US_MA
Anthidium_oblongatum,Megachilidae,Megachilinae,Anthidiini,yes,M,id_23,0.068,NA,4.15,1.7,NA,NA,USA
Anthidium_oblongatum,Megachilidae,Megachilinae,Anthidiini,yes,M,id_48,0.052,NA,2.8,1.5,NA,NA,USA
Anthidium_oblongatum,Megachilidae,Megachilinae,Anthidiini,yes,M,id_F3,0.0473,0.0095,2.643,NA,2.02,0.762,Spain
Anthidium_oblongatum,Megachilidae,Megachilinae,Anthidiini,yes,F,id_42,0.048,NA,2.8,1.5,NA,NA,USA
Anthidium_oblongatum,Megachilidae,Megachilinae,Anthidiini,yes,M,id_39,0.043,NA,2.75,1.6,NA,NA,USA
Anthidium_oblongatum,Megachilidae,Megachilinae,Anthidiini,yes,M,id_26,0.044,NA,2.75,2,2.3,NA,USA
Anthophora_bimaculata,Apidae,Apinae,Anthophorini,yes,M,id_F4,0.0248,0.004,2.82,NA,1.48,NA,Spain
Anthophora_plumipes,Apidae,Apinae,Anthophorini,yes,F,id_H86,NA,NA,4.08,NA,3.676,1.434,Netherlands
Anthophora_plumipes,Apidae,Apinae,Anthophorini,yes,F,id_H105,NA,NA,NA,NA,4.786,NA,Netherlands
Anthophora_plumipes,Apidae,Apinae,Anthophorini,yes,F,id_H104,NA,NA,NA,NA,3.712,0.84,Netherlands
Anthophora_quadrimaculata,Apidae,Apinae,Anthophorini,yes,F,id_H163,NA,NA,3.95,NA,1.852,0.698,Netherlands
Anthophora_quadrimaculata,Apidae,Apinae,Anthophorini,yes,F,id_H160,NA,NA,3.77,NA,2.593,0.959,Netherlands
Anthophora_retusa,Apidae,Apinae,Anthophorini,no,F,id_H137,NA,NA,NA,NA,2.798,1.045,Netherlands
Anthophora_retusa,Apidae,Apinae,Anthophorini,no,M,id_H134,NA,NA,NA,NA,1.446,0.6,Netherlands
Anthophora_retusa,Apidae,Apinae,Anthophorini,no,M,id_H133,NA,NA,NA,NA,1.832,0.637,Netherlands
Anthophora_retusa,Apidae,Apinae,Anthophorini,no,F,id_H161,NA,NA,NA,NA,3.394,1.542,Netherlands
Apis_mellifera,Apidae,Apinae,Apini,yes,F,id_75,0.0797,NA,2.986,1.9,NA,NA,USA
Apis_mellifera,Apidae,Apinae,Apini,yes,F,id_25,0.074,NA,3.079,1.8,1.9,NA,USA
Apis_mellifera,Apidae,Apinae,Apini,yes,F,id_B87,0.0675,0.0075,3.096,NA,1.64,0.79,Spain
Apis_mellifera,Apidae,Apinae,Apini,yes,F,id_64,0.1096,NA,3.036,1.7,NA,NA,USA
Apis_mellifera,Apidae,Apinae,Apini,yes,F,id_B89,NA,NA,3.138,NA,1.6,NA,Spain
Apis_mellifera,Apidae,Apinae,Apini,yes,F,id_63,0.0855,NA,3.25,1.8,NA,NA,USA
Apis_mellifera,Apidae,Apinae,Apini,yes,F,id_B78,0.0713,0.0081,2.995,NA,1.603,0.78,Spain
Apis_mellifera,Apidae,Apinae,Apini,yes,F,id_B82,0.0679,0.0082,2.845,NA,1.64,NA,Spain
Apis_mellifera,Apidae,Apinae,Apini,yes,F,id_71,0.0795,NA,2.986,2,NA,NA,USA
Apis_mellifera,Apidae,Apinae,Apini,yes,F,id_B1,NA,NA,3.105,NA,1.77,1.076,Spain
Apis_mellifera,Apidae,Apinae,Apini,yes,F,id_81,0.0865,NA,3.036,1.9,NA,NA,USA
Apis_mellifera,Apidae,Apinae,Apini,yes,F,id_B79,0.0702,0.0088,2.741,NA,1.6,NA,Spain
Apis_mellifera,Apidae,Apinae,Apini,yes,F,id_B83,0.0878,0.0118,2.943,NA,1.89,0.49,Spain
Augochlora_pura,Halictidae,Halictinae,Augochlorini,yes,F,id_95,0.033,NA,2.47,0.97,NA,NA,USA
Augochlora_pura,Halictidae,Halictinae,Augochlorini,yes,F,US088,NA,NA,1.4605,NA,0.496,NA,US_MA
Augochlora_pura,Halictidae,Halictinae,Augochlorini,yes,F,US071,NA,NA,1.651,NA,0.71,NA,US_MA
Augochlora_pura,Halictidae,Halictinae,Augochlorini,yes,M,id_50,0.0108,NA,2.63,0.55,NA,NA,USA
Augochlora_pura,Halictidae,Halictinae,Augochlorini,yes,F,US154,NA,NA,1.8415,NA,0.614,NA,US_MA
Augochlora_pura,Halictidae,Halictinae,Augochlorini,yes,F,id_138,0.011,NA,1.98,0.52,NA,NA,USA
Augochlora_pura,Halictidae,Halictinae,Augochlorini,yes,F,id_102,0.0244,NA,2.47,0.91,NA,NA,USA
Augochlora_pura,Halictidae,Halictinae,Augochlorini,yes,F,id_207,NA,NA,2.174,NA,0.5,NA,USA
Augochlora_pura,Halictidae,Halictinae,Augochlorini,yes,F,US042,NA,NA,1.5875,NA,0.61,NA,US_MA
Bombus_fervidus,Apidae,Apinae,Bombini,yes,F,id_120,0.076,NA,4.2,2.5,NA,NA,USA
Bombus_hortorum,Apidae,Apinae,Bombini,yes,F,id_H108,NA,NA,3.65,NA,2.334,1.387,Netherlands
Bombus_hortorum,Apidae,Apinae,Bombini,yes,Q,id_H59,NA,NA,4.56,NA,4.787,NA,Netherlands
Bombus_hypnorum,Apidae,Apinae,Bombini,yes,F,id_H88,NA,NA,3.37,NA,2.29,1.086,Netherlands
Bombus_hypnorum,Apidae,Apinae,Bombini,yes,F,id_H111,NA,NA,NA,NA,2.522,1.503,Netherlands
Bombus_hypnorum,Apidae,Apinae,Bombini,yes,F,id_H109,NA,NA,NA,NA,2.947,1.645,Netherlands
Bombus_hypnorum,Apidae,Apinae,Bombini,yes,F,id_H110,NA,NA,NA,NA,3.277,NA,Netherlands
Bombus_impatiens,Apidae,Apinae,Bombini,yes,F,id_21,0.109,NA,4.69,2.5,3.2,NA,USA
Bombus_impatiens,Apidae,Apinae,Bombini,yes,F,id_84,0.0878,NA,3.82,2.2,NA,NA,USA
Bombus_impatiens,Apidae,Apinae,Bombini,yes,F,US161,NA,NA,3.683,NA,2.634,NA,US_MA
Bombus_impatiens,Apidae,Apinae,Bombini,yes,F,id_45,0.129,NA,3.407,2.4,NA,NA,USA
Bombus_impatiens,Apidae,Apinae,Bombini,yes,F,id_127,0.112,NA,3.171,1.9,NA,NA,USA
Bombus_impatiens,Apidae,Apinae,Bombini,yes,F,id_13,0.111,NA,4.62,2.4,2.7,NA,USA
Bombus_impatiens,Apidae,Apinae,Bombini,yes,F,id_147,0.1223,NA,4.55,2.1,NA,NA,USA
Bombus_impatiens,Apidae,Apinae,Bombini,yes,F,id_14,0.086,NA,3.92,2.1,2.4,NA,USA
Bombus_impatiens,Apidae,Apinae,Bombini,yes,F,id_80,0.138,NA,4.55,2.5,NA,NA,USA
Bombus_impatiens,Apidae,Apinae,Bombini,yes,F,id_10,0.092,NA,4.46,2,NA,NA,USA
Bombus_impatiens,Apidae,Apinae,Bombini,yes,F,id_16,0.093,NA,4.23,2.2,NA,NA,USA
Bombus_impatiens,Apidae,Apinae,Bombini,yes,F,id_40,0.172,NA,5.22,3,NA,NA,USA
Bombus_impatiens,Apidae,Apinae,Bombini,yes,F,id_86,0.132,NA,4.49,2.3,NA,NA,USA
Bombus_impatiens,Apidae,Apinae,Bombini,yes,F,id_34,0.22,NA,4.286,2.8,NA,NA,USA
Bombus_impatiens,Apidae,Apinae,Bombini,yes,F,id_46,0.185,NA,4.257,2.9,NA,NA,USA
Bombus_impatiens,Apidae,Apinae,Bombini,yes,F,US160,NA,NA,3.1115,NA,2.387,NA,US_MA
Bombus_impatiens,Apidae,Apinae,Bombini,yes,F,id_128,0.1816,NA,4.86,2.5,NA,NA,USA
Bombus_impatiens,Apidae,Apinae,Bombini,yes,F,id_12,0.132,NA,4.85,2.7,3,NA,USA
Bombus_impatiens,Apidae,Apinae,Bombini,yes,F,id_126,0.0901,NA,4.51,2.2,NA,NA,USA
Bombus_impatiens,Apidae,Apinae,Bombini,yes,F,id_68,0.125,NA,4.31,2.3,NA,NA,USA
Bombus_impatiens,Apidae,Apinae,Bombini,yes,F,id_11,0.083,NA,4,1.8,2.7,NA,USA
Bombus_impatiens,Apidae,Apinae,Bombini,yes,F,id_155,0.0974,NA,4.44,2.2,NA,NA,USA
Bombus_impatiens,Apidae,Apinae,Bombini,yes,F,US159,NA,NA,2.794,NA,2.322,NA,US_MA
Bombus_jonellus,Apidae,Apinae,Bombini,yes,F,id_H170,NA,NA,4.35,NA,2.348,1.168,Netherlands
Bombus_jonellus,Apidae,Apinae,Bombini,yes,F,id_H171,NA,NA,4.13,NA,2.512,1.363,Netherlands
Bombus_jonellus,Apidae,Apinae,Bombini,yes,F,id_H135,NA,NA,NA,NA,1.872,0.782,Netherlands
Bombus_jonellus,Apidae,Apinae,Bombini,yes,F,id_H172,NA,NA,4.22,NA,2.325,NA,Netherlands
Bombus_jonellus,Apidae,Apinae,Bombini,yes,F,id_H76,NA,NA,3.37,NA,2.017,0.94,Netherlands
Bombus_lapidarius,Apidae,Apinae,Bombini,yes,Q,id_H87,NA,NA,5.15,NA,4.474,NA,Netherlands
Bombus_lapidarius,Apidae,Apinae,Bombini,yes,Q,id_H78,NA,NA,5.15,NA,4.655,2.54,Netherlands
Bombus_lapidarius,Apidae,Apinae,Bombini,yes,Q,id_H77,NA,NA,4.97,NA,5.075,2.264,Netherlands
Bombus_lapidarius,Apidae,Apinae,Bombini,yes,Q,id_H62,NA,NA,5.11,NA,4.258,0.914,Netherlands
Bombus_lucorum,Apidae,Apinae,Bombini,yes,M,id_A30,0.1831,NA,4.861,NA,2.4,1.159,Spain
Bombus_muscorum,Apidae,Apinae,Bombini,yes,F,id_F22,0.1288,0.0135,3.727,NA,2.16,1.37,Spain
Bombus_muscorum,Apidae,Apinae,Bombini,yes,F,id_F9,0.1058,0.0119,3.465,NA,1.77,1.028,Spain
Bombus_muscorum,Apidae,Apinae,Bombini,yes,F,id_F15,0.1316,0.0156,4.044,NA,2.02,1.106,Spain
Bombus_muscorum,Apidae,Apinae,Bombini,yes,F,id_F6,0.1258,NA,3.606,NA,1.85,0.948,Spain
Bombus_muscorum,Apidae,Apinae,Bombini,yes,F,id_F8,0.1427,0.0145,4.05,NA,1.9,1.328,Spain
Bombus_muscorum,Apidae,Apinae,Bombini,yes,F,id_F25,0.1251,0.0159,3.585,NA,3.67,1.811,Spain
Bombus_muscorum,Apidae,Apinae,Bombini,yes,F,id_F7,0.1029,0.0147,3.659,NA,1.87,1.295,Spain
Bombus_muscorum,Apidae,Apinae,Bombini,yes,F,id_F24,0.1259,0.0168,4.172,NA,2.7,NA,Spain
Bombus_muscorum,Apidae,Apinae,Bombini,yes,F,id_F5,0.1326,0.0143,3.997,NA,1.7,0.891,Spain
Bombus_pascuorum,Apidae,Apinae,Bombini,yes,F,id_A5,0.178,0.0222,4.329,NA,2.52,1.485,Spain
Bombus_pascuorum,Apidae,Apinae,Bombini,yes,Q,id_H60,NA,NA,4.33,NA,3.871,2.199,Netherlands
Bombus_pascuorum,Apidae,Apinae,Bombini,yes,F,id_A16,0.145,0.0165,3.748,NA,2.44,1.433,Spain
Bombus_pascuorum,Apidae,Apinae,Bombini,yes,F,id_A15,0.188,0.0213,4.105,NA,3.11,1.237,Spain
Bombus_pascuorum,Apidae,Apinae,Bombini,yes,F,id_A13,0.1461,0.0199,3.834,NA,2.89,1.899,Spain
Bombus_pascuorum,Apidae,Apinae,Bombini,yes,F,id_A11,0.1704,0.0195,3.943,NA,3.15,NA,Spain
Bombus_pascuorum,Apidae,Apinae,Bombini,yes,Q,id_H79,NA,NA,4.35,NA,3.932,2.195,Netherlands
Bombus_pascuorum,Apidae,Apinae,Bombini,yes,Q,id_H61,NA,NA,4.39,NA,4.937,2.374,Netherlands
Bombus_pascuorum,Apidae,Apinae,Bombini,yes,F,id_A26,0.1463,0.0157,4.012,NA,2.15,1.304,Spain
Bombus_pratorum,Apidae,Apinae,Bombini,yes,M,id_A21,0.0792,0.0062,3.646,NA,1.79,0.974,Spain
