Species,IT,Brain.weight,Country,Max_val,Min_val
Heriades rubicola,1.642,0.42,Spain,0.42,0.42
Hoplitis papaveris,2.213,1.1,Spain,1.1,1.1
Hylaeus mesillae,1.4,0.26,USA,0.26,0.26
Hylaeus modestus,1.65,0.31,USA,0.31,0.31
Lasioglossum calceatum,1.65,0.675,Netherlands,0.6963750000000002,0.633375
Lasioglossum calceatum,1.83,0.666,Netherlands,0.6963750000000002,0.633375
Lasioglossum calceatum,2.3,0.663,Netherlands,0.6963750000000002,0.633375
Lasioglossum calceatum,1.76,0.655,Netherlands,0.6963750000000002,0.633375
Lasioglossum coriaceum,1.8415,0.84,US_MA,1.0317500000000002,0.48974999999999985
Lasioglossum coriaceum,2.032,0.817,US_MA,1.0317500000000002,0.48974999999999985
Lasioglossum coriaceum,1.8415,0.569,US_MA,1.0317500000000002,0.48974999999999985
Lasioglossum fulvicorne,1.26,0.3,Netherlands,0.3,0.3
Lasioglossum immunitum,1.854,0.68,Spain,0.68,0.68
Lasioglossum leucozonium,2.22,0.432,Netherlands,0.804,0.13199999999999995
Lasioglossum leucozonium,2.35,0.672,Netherlands,0.804,0.13199999999999995
Lasioglossum leucozonium,2.08,0.336,Netherlands,0.804,0.13199999999999995
Lasioglossum punctatissimum,1.51,0.371,Netherlands,0.49137500000000006,0.09837499999999996
Lasioglossum punctatissimum,1.55,0.335,Netherlands,0.49137500000000006,0.09837499999999996
Lasioglossum punctatissimum,1.51,0.249,Netherlands,0.49137500000000006,0.09837499999999996
Lasioglossum punctatissimum,1.68,0.236,Netherlands,0.49137500000000006,0.09837499999999996
Lasioglossum sexnotatum,2.71,1.038,Netherlands,1.2174999999999998,0.4015000000000001
Lasioglossum sexnotatum,2.4,0.785,Netherlands,1.2174999999999998,0.4015000000000001
Lasioglossum sexnotatum,2.57,0.63,Netherlands,1.2174999999999998,0.4015000000000001
Lasioglossum sexstrigatum,1.26,0.231,Netherlands,0.231,0.231
Lasioglossum zonulum,2.4,0.608,Netherlands,0.72325,0.57725
Lasioglossum zonulum,2.17,0.64,Netherlands,0.72325,0.57725
Lasioglossum zonulum,2.35,0.647,Netherlands,0.72325,0.57725
Megachile centuncularis,3.91,1.591,Netherlands,2.3175,0.4394999999999998
Megachile centuncularis,3.073,1.16,Spain,2.3175,0.4394999999999998
Megachile centuncularis,2.4765,1.095,US_MA,2.3175,0.4394999999999998
Megachile centuncularis,3.86,1.68,Netherlands,2.3175,0.4394999999999998
Megachile ligniseca,3.9,2.963,Netherlands,2.963,2.963
Megachile pugnata,4.08,3,USA,3,3
Megachile rotundata,2.826,2,USA,2.4000000000000004,0.7999999999999997
Megachile rotundata,2.893,1.2,USA,2.4000000000000004,0.7999999999999997
Melissodes bimaculata,2.8575,2.022,US_MA,2.022,2.022
Nomada cressonii,2.304,1.76,USA,1.76,1.76
Nomada luteoloides,2.435,1.7,USA,1.7,1.7
Nomada merceti,1.415,0.73,Spain,1.425,-0.015000000000000013
Nomada merceti,1.343,0.32,Spain,1.425,-0.015000000000000013
Nomada merceti,1.541,1.04,Spain,1.425,-0.015000000000000013
Nomada succincta,2.057,1.34,Spain,1.34,1.34
Osmia bicornis,3.193,1.316,Spain,1.7919999999999998,0.6360000000000002
Osmia bicornis,3.342,1.553,Spain,1.7919999999999998,0.6360000000000002
Osmia bicornis,3.314,1.013,Spain,1.7919999999999998,0.6360000000000002
Osmia bicornis,3.365,1.548,Spain,1.7919999999999998,0.6360000000000002
Osmia bicornis,3.287,1.237,Spain,1.7919999999999998,0.6360000000000002
Osmia bicornis,3.192,1.517,Spain,1.7919999999999998,0.6360000000000002
Osmia bicornis,3.29,1.154,Spain,1.7919999999999998,0.6360000000000002
Osmia bicornis,3.076,1.375,Spain,1.7919999999999998,0.6360000000000002
Osmia bicornis,3.226,1.618,Spain,1.7919999999999998,0.6360000000000002
Osmia bicornis,3.381,1.172,Spain,1.7919999999999998,0.6360000000000002
Osmia bicornis,3.18,0.981,Spain,1.7919999999999998,0.6360000000000002
