ID,Genus,Species,Sex,Place,Date,IT,Weigth..g.,Head.weight..g.,Plant,Brain.Weight..mg.,No.optic.lobes.weight,Country,Notes
105/1,Osmia,Osmia bicornis,Female,Sevilla,,2.666,NA,NA,,NA,0.789,Spain,Born from coccon. not captured
34/1,Osmia,Osmia bicornis,Female,Sevilla,,2.926,NA,NA,,1.049,0.493,Spain,Born from coccon. not captured
11/2,Osmia,Osmia bicornis,Female,Sevilla,,3.365,NA,NA,,1.548,0.865,Spain,Born from coccon. not captured
33/1,Osmia,Osmia bicornis,Female,Sevilla,,3.243,NA,NA,,1.134,0.758,Spain,Born from coccon. not captured
33/5,Osmia,Osmia bicornis,Female,Sevilla,,3.173,NA,NA,,1.095,0.69,Spain,Born from coccon. not captured
33/6,Osmia,Osmia bicornis,Female,Sevilla,,3.18,NA,NA,,0.981,0.531,Spain,Born from coccon. not captured
38/1,Osmia,Osmia bicornis,Female,Sevilla,,3.076,NA,NA,,1.375,0.713,Spain,Born from coccon. not captured
33/4,Osmia,Osmia bicornis,Female,Sevilla,,3.194,NA,NA,,NA,NA,Spain,Born from coccon. not captured
12/3,Osmia,Osmia bicornis,Female,Sevilla,,3.302,NA,NA,,1.353,0.79,Spain,Born from coccon. not captured
12/7,Osmia,Osmia bicornis,Female,Sevilla,,3.313,NA,NA,,1.218,0.824,Spain,Born from coccon. not captured
34/5,Osmia,Osmia bicornis,Female,Sevilla,,3.192,NA,NA,,1.517,0.734,Spain,Born from coccon. not captured
12/4,Osmia,Osmia bicornis,Female,Sevilla,,3.219,NA,NA,,1.065,0.647,Spain,Born from coccon. not captured
12/2,Osmia,Osmia bicornis,Female,Sevilla,,3.271,NA,NA,,NA,NA,Spain,Born from coccon. not captured
33/2,Osmia,Osmia bicornis,Female,Sevilla,,3.134,NA,NA,,1.249,0.564,Spain,Born from coccon. not captured
33/3,Osmia,Osmia bicornis,Female,Sevilla,,3.063,NA,NA,,0.861,0.556,Spain,Born from coccon. not captured
35/1,Osmia,Osmia bicornis,Female,Sevilla,,3.1,NA,NA,,1.092,0.556,Spain,Born from coccon. not captured
128/2,Osmia,Osmia caerulescens,Male,Sevilla,,1.881,NA,NA,,NA,NA,Spain,Born from coccon. not captured
152/5,Osmia,Osmia caerulescens,Male,Sevilla,,1.783,NA,NA,,0.407,0.223,Spain,Born from coccon. not captured
142/1,Osmia,Osmia caerulescens,Male,Sevilla,,1.898,NA,NA,,0.599,0.309,Spain,Born from coccon. not captured
120/1,Osmia,Osmia caerulescens,Male,Sevilla,,2.269,NA,NA,,0.81,0.334,Spain,Born from coccon. not captured
152/8,Osmia,Osmia caerulescens,Male,Sevilla,,1.868,NA,NA,,NA,NA,Spain,Born from coccon. not captured
85/1,Osmia,Osmia caerulescens,Male,Sevilla,,1.939,NA,NA,,0.569,0.38,Spain,Born from coccon. not captured
152/4,Osmia,Osmia caerulescens,Male,Sevilla,,1.742,NA,NA,,0.662,0.25,Spain,Born from coccon. not captured
142/3,Osmia,Osmia caerulescens,Male,Sevilla,,1.915,NA,NA,,0.588,0.33,Spain,Born from coccon. not captured
43/1,Osmia,Osmia caerulescens,Male,Sevilla,,2.413,NA,NA,,0.8,0.238,Spain,Born from coccon. not captured
30/1,Osmia,Osmia caerulescens,Male,Sevilla,,2.467,NA,NA,,0.866,0.428,Spain,Born from coccon. not captured
50/2,Osmia,Osmia caerulescens,Male,Sevilla,,2.278,NA,NA,,0.722,0.436,Spain,Born from coccon. not captured
50/1,Osmia,Osmia caerulescens,Male,Sevilla,,2.538,NA,NA,,0.769,0.354,Spain,Born from coccon. not captured
46/2,Osmia,Osmia caerulescens,Male,Sevilla,,2.283,NA,NA,,0.502,0.274,Spain,Born from coccon. not captured
N106/1,Osmia,Osmia caerulescens,Male,Carambolo,,2.234,NA,NA,,0.579,0.279,Spain,Born from coccon. not captured
N105/1,Osmia,Osmia caerulescens,Male,Carambolo,,2.024,NA,NA,,0.5,0.303,Spain,Born from coccon. not captured
152/7,Osmia,Osmia caerulescens,Male,Sevilla,,1.803,NA,NA,,0.615,0.275,Spain,Born from coccon. not captured
152/3,Osmia,Osmia caerulescens,Male,Sevilla,,1.829,NA,NA,,0.925,0.321,Spain,Born from coccon. not captured
