"","Species","IT","Brain.weight","Country","Max_val","Min_val"
"85","Andrena tibialis",2.97,1.938,"Netherlands",2.2285,1.0665
"86","Andrena varians",2.52,1.17,"Netherlands",1.17,1.17
"87","Anthidium florentinum",4.254,4.46,"Spain",4.46,4.46
"88","Anthidium manicatum",2.903,2.3,"Spain",3.599375,0.652374999999999
"89","Anthidium manicatum",3.066,2.02,"Spain",3.599375,0.652374999999999
"90","Anthidium manicatum",3.048,2.559,"US_MA",3.599375,0.652374999999999
"91","Anthidium manicatum",2.365,1.67,"Spain",3.599375,0.652374999999999
"92","Anthidium manicatum",2.71,1.11,"Spain",3.599375,0.652374999999999
"93","Anthidium manicatum",3.15,2.66,"Spain",3.599375,0.652374999999999
"94","Anthidium oblongatum",2.679,1.8,"USA",1.8,1.8
"95","Anthophora plumipes",4.08,3.676,"Netherlands",3.676,3.676
"96","Anthophora quadrimaculata",3.95,1.852,"Netherlands",2.9635,1.4815
"97","Anthophora quadrimaculata",3.77,2.593,"Netherlands",2.9635,1.4815
"98","Augochlora pura",1.4605,0.496,"US_MA",0.785,0.329
"99","Augochlora pura",1.651,0.71,"US_MA",0.785,0.329
"100","Augochlora pura",1.8415,0.614,"US_MA",0.785,0.329
"101","Augochlora pura",2.174,0.5,"USA",0.785,0.329
"102","Augochlora pura",1.5875,0.61,"US_MA",0.785,0.329
"103","Bombus hortorum",3.65,2.334,"Netherlands",2.334,2.334
"104","Bombus hypnorum",3.37,2.29,"Netherlands",2.29,2.29
"105","Bombus impatiens",4.69,3.2,"USA",3.342375,1.829375
"106","Bombus impatiens",3.683,2.634,"US_MA",3.342375,1.829375
"107","Bombus impatiens",4.62,2.7,"USA",3.342375,1.829375
"108","Bombus impatiens",3.92,2.4,"USA",3.342375,1.829375
"109","Bombus impatiens",3.1115,2.387,"US_MA",3.342375,1.829375
"110","Bombus impatiens",4.85,3,"USA",3.342375,1.829375
"111","Bombus impatiens",4,2.7,"USA",3.342375,1.829375
"112","Bombus impatiens",2.794,2.322,"US_MA",3.342375,1.829375
"113","Bombus jonellus",4.35,2.348,"Netherlands",2.6005,2.0365
"114","Bombus jonellus",4.13,2.512,"Netherlands",2.6005,2.0365
"115","Bombus jonellus",4.22,2.325,"Netherlands",2.6005,2.0365
"116","Bombus muscorum",3.727,2.16,"Spain",2.625,1.385
"117","Bombus muscorum",3.465,1.77,"Spain",2.625,1.385
"118","Bombus muscorum",4.044,2.02,"Spain",2.625,1.385
"119","Bombus muscorum",3.606,1.85,"Spain",2.625,1.385
"120","Bombus muscorum",4.05,1.9,"Spain",2.625,1.385
"121","Bombus muscorum",3.659,1.87,"Spain",2.625,1.385
"122","Bombus muscorum",3.997,1.7,"Spain",2.625,1.385
"123","Bombus pascuorum",4.329,2.52,"Spain",3.9475,1.5675
"124","Bombus pascuorum",3.748,2.44,"Spain",3.9475,1.5675
"125","Bombus pascuorum",4.105,3.11,"Spain",3.9475,1.5675
"126","Bombus pascuorum",3.834,2.89,"Spain",3.9475,1.5675
"127","Bombus pascuorum",3.943,3.15,"Spain",3.9475,1.5675
"128","Bombus pascuorum",4.012,2.15,"Spain",3.9475,1.5675
"129","Bombus pratorum",3.28,2.348,"Netherlands",2.47,1.894
"130","Bombus pratorum",3.635,2.06,"Spain",2.47,1.894
"131","Bombus pratorum",3.576,2.16,"Spain",2.47,1.894
"132","Bombus terrestris",4.468,2.75,"Spain",3.6925,1.9925
"133","Bombus terrestris",4.5,3.09,"Spain",3.6925,1.9925
"134","Bombus terrestris",4.032,2.6,"Spain",3.6925,1.9925
"135","Bombus terrestris",4.126,2.94,"Spain",3.6925,1.9925
"136","Bombus terrestris",4.713,3.59,"Spain",3.6925,1.9925
"137","Bombus terrestris",4.68,2.17,"Spain",3.6925,1.9925
"138","Bombus terrestris",4.299,2.95,"Spain",3.6925,1.9925
"139","Bombus terrestris",4.289,2.72,"Spain",3.6925,1.9925
"140","Bombus terrestris",4.45,3.16,"Spain",3.6925,1.9925
"141","Bombus terrestris",3.95,2.26,"Spain",3.6925,1.9925
"142","Ceratina calcarata",2.08,0.46,"USA",0.475,0.415
"143","Ceratina calcarata",1.83,0.43,"USA",0.475,0.415
"144","Dasypoda hirtipes",2.957,1.47,"Spain",1.47,1.47
"145","Eucera elongatula",2.931,1.95,"Spain",2.31,0.87
"146","Eucera elongatula",2.761,1.23,"Spain",2.31,0.87
"147","Panurgus venustus",1.874,0.62,"Spain",0.62,0.62
"148","Halictus confusus",1.91,0.527,"Netherlands",0.815,0.047
"149","Halictus confusus",1.77,0.332,"Netherlands",0.815,0.047
"150","Halictus confusus",1.524,0.338,"US_MA",0.815,0.047
"151","Halictus confusus",1.3335,0.335,"US_MA",0.815,0.047
"152","Halictus confusus",1.867,0.56,"USA",0.815,0.047
"153","Halictus ligatus",2.65,0.7,"USA",0.87975,0.41375
"154","Halictus ligatus",2.032,0.653,"US_MA",0.87975,0.41375
"155","Halictus ligatus",2.55,0.72,"USA",0.87975,0.41375
"156","Halictus rubicundus",2.8,1.06,"Netherlands",1.199875,0.564875
"157","Halictus rubicundus",2.0955,0.929,"US_MA",1.199875,0.564875
"158","Halictus rubicundus",1.92,0.923,"Netherlands",1.199875,0.564875
"159","Heriades rubicola",1.642,0.42,"Spain",0.42,0.42
"160","Hoplitis papaveris",2.213,1.1,"Spain",1.1,1.1
"161","Hylaeus mesillae",1.4,0.26,"USA",0.26,0.26
"162","Hylaeus modestus",1.65,0.31,"USA",0.31,0.31
"163","Lasioglossum calceatum",1.65,0.675,"Netherlands",0.696375,0.633375
"164","Lasioglossum calceatum",1.83,0.666,"Netherlands",0.696375,0.633375
"165","Lasioglossum calceatum",2.3,0.663,"Netherlands",0.696375,0.633375
"166","Lasioglossum calceatum",1.76,0.655,"Netherlands",0.696375,0.633375
"167","Lasioglossum coriaceum",1.8415,0.84,"US_MA",1.03175,0.48975
"168","Lasioglossum coriaceum",2.032,0.817,"US_MA",1.03175,0.48975
"169","Lasioglossum coriaceum",1.8415,0.569,"US_MA",1.03175,0.48975
"170","Lasioglossum fulvicorne",1.26,0.3,"Netherlands",0.3,0.3
"171","Lasioglossum immunitum",1.854,0.68,"Spain",0.68,0.68
"172","Lasioglossum leucozonium",2.22,0.432,"Netherlands",0.804,0.132
"173","Lasioglossum leucozonium",2.35,0.672,"Netherlands",0.804,0.132
"174","Lasioglossum leucozonium",2.08,0.336,"Netherlands",0.804,0.132
"175","Lasioglossum punctatissimum",1.51,0.371,"Netherlands",0.491375,0.098375
"176","Lasioglossum punctatissimum",1.55,0.335,"Netherlands",0.491375,0.098375
"177","Lasioglossum punctatissimum",1.51,0.249,"Netherlands",0.491375,0.098375
"178","Lasioglossum punctatissimum",1.68,0.236,"Netherlands",0.491375,0.098375
"179","Lasioglossum sexnotatum",2.71,1.038,"Netherlands",1.2175,0.4015
"180","Lasioglossum sexnotatum",2.4,0.785,"Netherlands",1.2175,0.4015
"181","Lasioglossum sexnotatum",2.57,0.63,"Netherlands",1.2175,0.4015
"182","Lasioglossum sexstrigatum",1.26,0.231,"Netherlands",0.231,0.231
"183","Lasioglossum zonulum",2.4,0.608,"Netherlands",0.72325,0.57725
"184","Lasioglossum zonulum",2.17,0.64,"Netherlands",0.72325,0.57725
"185","Lasioglossum zonulum",2.35,0.647,"Netherlands",0.72325,0.57725
"186","Megachile centuncularis",3.91,1.591,"Netherlands",2.3175,0.4395
"187","Megachile centuncularis",3.073,1.16,"Spain",2.3175,0.4395
"188","Megachile centuncularis",2.4765,1.095,"US_MA",2.3175,0.4395
"189","Megachile centuncularis",3.86,1.68,"Netherlands",2.3175,0.4395
"190","Megachile ligniseca",3.9,2.963,"Netherlands",2.963,2.963
"191","Megachile pugnata",4.08,3,"USA",3,3
"192","Megachile rotundata",2.826,2,"USA",2.4,0.8
"193","Megachile rotundata",2.893,1.2,"USA",2.4,0.8
"194","Melissodes bimaculata",2.8575,2.022,"US_MA",2.022,2.022
"195","Nomada cressonii",2.304,1.76,"USA",1.76,1.76
"196","Nomada luteoloides",2.435,1.7,"USA",1.7,1.7
"197","Nomada merceti",1.415,0.73,"Spain",1.425,-0.015
"198","Nomada merceti",1.343,0.32,"Spain",1.425,-0.015
"199","Nomada merceti",1.541,1.04,"Spain",1.425,-0.015
"200","Nomada succincta",2.057,1.34,"Spain",1.34,1.34
"201","Osmia bicornis",3.193,1.316,"Spain",1.792,0.636
"202","Osmia bicornis",3.342,1.553,"Spain",1.792,0.636
"203","Osmia bicornis",3.314,1.013,"Spain",1.792,0.636
"204","Osmia bicornis",3.365,1.548,"Spain",1.792,0.636
"205","Osmia bicornis",3.287,1.237,"Spain",1.792,0.636
"206","Osmia bicornis",3.192,1.517,"Spain",1.792,0.636
"207","Osmia bicornis",3.29,1.154,"Spain",1.792,0.636
"208","Osmia bicornis",3.076,1.375,"Spain",1.792,0.636
"209","Osmia bicornis",3.226,1.618,"Spain",1.792,0.636
"210","Osmia bicornis",3.381,1.172,"Spain",1.792,0.636
"211","Osmia bicornis",3.18,0.981,"Spain",1.792,0.636
"212","Osmia bicornis",3.9,1.56,"Netherlands",1.792,0.636
"213","Osmia bicornis",3.134,1.249,"Spain",1.792,0.636
"214","Osmia bicornis",2.452,1.121,"Spain",1.792,0.636
"215","Osmia bicornis",2.465,1.071,"Germany",1.792,0.636
"216","Osmia bicornis",3.063,0.861,"Spain",1.792,0.636
"217","Osmia bicornis",3.1,1.092,"Spain",1.792,0.636
"218","Osmia bicornis",2.848,1.78,"Germany",1.792,0.636
"219","Osmia bicornis",3.267,1.061,"Spain",1.792,0.636
"220","Osmia bicornis",3.219,1.065,"Spain",1.792,0.636
"221","Osmia bicornis",3.156,1.009,"Spain",1.792,0.636
"222","Osmia bicornis",3.108,1.307,"Spain",1.792,0.636
"223","Osmia bicornis",3.243,1.134,"Spain",1.792,0.636
"224","Osmia bicornis",3.313,1.218,"Spain",1.792,0.636
"225","Osmia bicornis",2.926,1.049,"Spain",1.792,0.636
"226","Osmia bicornis",3.302,1.353,"Spain",1.792,0.636
"227","Osmia bicornis",3.29,1.238,"Germany",1.792,0.636
"228","Osmia bicornis",3.173,1.095,"Spain",1.792,0.636
"229","Osmia caerulescens",2.8,0.855,"Netherlands",0.855,0.855
"230","Osmia cornuta",3.974,1.321,"Germany",2.935,0.975
"231","Osmia cornuta",3.828,1.803,"Germany",2.935,0.975
"232","Osmia cornuta",3.607,1.46,"Germany",2.935,0.975
"233","Osmia cornuta",3.761,2.643,"Germany",2.935,0.975
"234","Osmia cornuta",3.447,1.998,"Germany",2.935,0.975
"235","Osmia cornuta",3.855,2.072,"Germany",2.935,0.975
"236","Osmia cornuta",3.117,1.715,"Germany",2.935,0.975
"237","Osmia cornuta",3.115,1.322,"Germany",2.935,0.975
"238","Osmia cornuta",3.891,2.472,"Germany",2.935,0.975
"239","Osmia cornuta",3.694,2.304,"Germany",2.935,0.975
"240","Osmia cornuta",3.587,1.482,"Germany",2.935,0.975
"241","Osmia cornuta",3.78,2.03,"Germany",2.935,0.975
"242","Osmia cornuta",3.647,2.216,"Germany",2.935,0.975
"243","Osmia cornuta",3.343,1.594,"Germany",2.935,0.975
"244","Osmia cornuta",3.827,2.41,"Germany",2.935,0.975
"245","Osmia cornuta",3.69,2.816,"Germany",2.935,0.975
"246","Osmia cornuta",3.198,1.332,"Germany",2.935,0.975
"247","Osmia cornuta",3.704,2.388,"Germany",2.935,0.975
"248","Osmia cornuta",3.567,1.981,"Germany",2.935,0.975
"249","Osmia cornuta",3.719,1.875,"Germany",2.935,0.975
"250","Osmia cornuta",3.768,2.296,"Germany",2.935,0.975
"251","Osmia cornuta",3.613,1.939,"Germany",2.935,0.975
"252","Osmia cornuta",3.775,2.09,"Germany",2.935,0.975
"253","Osmia cornuta",3.718,1.755,"Germany",2.935,0.975
"254","Osmia cornuta",3.379,1.932,"Germany",2.935,0.975
"255","Osmia cornuta",3.605,2.102,"Germany",2.935,0.975
"256","Osmia cornuta",3.597,1.839,"Germany",2.935,0.975
"257","Osmia cornuta",3.95,1.579,"Germany",2.935,0.975
"258","Osmia cornuta",3.427,1.738,"Germany",2.935,0.975
"259","Osmia cornuta",3.557,1.668,"Germany",2.935,0.975
"260","Osmia cornuta",3.566,1.531,"Germany",2.935,0.975
"261","Osmia cornuta",3.805,2.314,"Germany",2.935,0.975
"262","Osmia cornuta",3.663,2.115,"Germany",2.935,0.975
"263","Osmia cornuta",3.792,2.356,"Germany",2.935,0.975
"264","Osmia cornuta",4.053,2.583,"Germany",2.935,0.975
"265","Osmia cornuta",3.856,2.434,"Germany",2.935,0.975
"266","Osmia cornuta",3.855,2.186,"Germany",2.935,0.975
"267","Osmia cornuta",3.582,1.842,"Germany",2.935,0.975
"268","Osmia cornuta",3.83,2.2,"Germany",2.935,0.975
"269","Osmia cornuta",3.605,1.765,"Germany",2.935,0.975
"270","Osmia cornuta",3.682,2.249,"Germany",2.935,0.975
"271","Osmia cornuta",3.718,1.387,"Germany",2.935,0.975
"272","Osmia cornuta",3.719,1.71,"Germany",2.935,0.975
"273","Osmia cornuta",3.242,1.506,"Germany",2.935,0.975
"274","Osmia cornuta",3.337,1.701,"Germany",2.935,0.975
"275","Osmia cornuta",3.368,1.835,"Germany",2.935,0.975
"276","Osmia cornuta",3.633,1.73,"Germany",2.935,0.975
"277","Osmia cornuta",3.596,1.885,"Germany",2.935,0.975
"278","Osmia cornuta",3.668,1.73,"Germany",2.935,0.975
"279","Osmia cornuta",3.746,2.146,"Germany",2.935,0.975
"280","Osmia cornuta",3.244,1.736,"Germany",2.935,0.975
"281","Osmia cornuta",3.806,1.707,"Germany",2.935,0.975
"282","Osmia cornuta",3.659,1.998,"Germany",2.935,0.975
"283","Osmia cornuta",3.628,1.813,"Germany",2.935,0.975
"284","Osmia cornuta",3.304,1.587,"Germany",2.935,0.975
"285","Osmia cornuta",3.544,1.974,"Germany",2.935,0.975
"286","Osmia cornuta",3.73,2.388,"Germany",2.935,0.975
"287","Osmia latreillei",2.863,0.842,"Spain",1.5515,0.6055
"288","Osmia latreillei",2.76,1.315,"Spain",1.5515,0.6055
"289","Osmia leaiana",2.896,1.285,"Spain",1.4675,0.7375
"290","Osmia leaiana",2.635,0.92,"Spain",1.4675,0.7375
"291","Osmia submicans",2.055,0.65,"Spain",0.8425,0.3585
"292","Osmia submicans",2.044,0.672,"Spain",0.8425,0.3585
"293","Osmia submicans",2.138,0.43,"Spain",0.8425,0.3585
"294","Panurgus banksianus",2.379,1.63,"Spain",1.63,1.63
"295","Panurgus calcaratus",1.404,0.47,"Spain",0.6125,0.3525
"296","Panurgus calcaratus",1.337,0.43,"Spain",0.6125,0.3525
"297","Panurgus calcaratus",1.508,0.56,"Spain",0.6125,0.3525
"298","Rhodanthidium sticticum",3.272,2.55,"Spain",2.55,2.55
"299","Stelis breviuscula",2.091,0.416,"Spain",0.45,0.314
"300","Stelis breviuscula",1.949,0.348,"Spain",0.45,0.314
"301","Systropha planidens",2.405,0.92,"Spain",0.92,0.92
"302","Xylocopa cantabrita",4.999,4.2,"Spain",6.19125,3.28125
"303","Xylocopa cantabrita",5.439,4.43,"Spain",6.19125,3.28125
"304","Xylocopa cantabrita",5.136,4.58,"Spain",6.19125,3.28125
"305","Xylocopa valga",6.455,7.43,"Spain",7.43,7.43
"306","Xylocopa valga",7.593,7.43,"Spain",7.43,7.43
"307","Xylocopa violacea",5.997,5.666,"Spain",6.789,4.931
"308","Xylocopa violacea",6.065,6.022,"Spain",6.789,4.931
"309","Xylocopa violacea",6.187,6.303,"Spain",6.789,4.931
"310","Xylocopa violacea",6.131,5.513,"Spain",6.789,4.931
"311","Xylocopa virginica",5.464,5.1,"USA",6.50875,4.33475
"312","Xylocopa virginica",5.207,5.787,"US_MA",6.50875,4.33475
"313","Xylocopa virginica",5.114,4.8,"USA",6.50875,4.33475
"314","Xylocopa virginica",5.557,5.6,"USA",6.50875,4.33475
"315","Xylocopa virginica",5.379,5.2,"USA",6.50875,4.33475
"316","Xylocopa virginica",5.643,5.3,"USA",6.50875,4.33475
"317","Osmia lateralis",2.622,1.73,"Spain",1.73,1.73
"318","Augochlorella aurata",1.4605,0.353,"USA",0.686,0.07
"319","Osmia lignaria",3.3655,0.933,"USA",1.6545,0.6925
"320","Osmia pumila",1.9685,0.652,"USA",0.7,0.508
"321","Osmia cornifrons",2.794,0.676,"USA",0.676,0.676
"322","Andrena milwaukeensis",2.0955,1.005,"USA",1.0075,0.9975
"323","Andrena vicina",2.8575,1.467,"USA",1.767,1.287
"324","Andrena vicina",2.9845,1.587,"USA",1.767,1.287
"325","Andrena vicina",2.9845,1.578,"USA",1.767,1.287
"326","Osmia lignaria",3.556,1.414,"USA",1.6545,0.6925
"327","Sphecodes ranunculi",1.651,0.364,"USA",0.364,0.364
"328","Chelostoma philadephi",1.2065,0.253,"USA",0.253,0.253
"329","Colletes thoracicus",3.429,1.533,"USA",1.65525,1.39325
"330","Colletes thoracicus",3.048,1.45,"USA",1.65525,1.39325
"331","Colletes thoracicus",3.3655,1.581,"USA",1.65525,1.39325
"332","Osmia pumila",1.651,0.556,"USA",0.7,0.508
"333","Augochlorella aurata",1.524,0.3,"USA",0.686,0.07
"334","Andrena milwaukeensis",2.4765,1,"USA",1.0075,0.9975
"335","Andrena wilkella",2.4765,1.13,"USA",1.325,0.909
"336","Andrena wilkella",2.3495,1,"USA",1.325,0.909
"337","Andrena wilkella",2.4765,1.208,"USA",1.325,0.909
"338","Calliopsis andreniformis",1.5875,0.28,"USA",0.535,0.195
"339","Calliopsis andreniformis",1.4605,0.45,"USA",0.535,0.195
"340","Osmia atriventris",2.032,0.447,"USA",0.447,0.447
"341","Andrena vicina",2.4765,1.609,"USA",1.767,1.287
"342","Augochloropsis metallica",1.778,0.656,"USA",0.82025,0.56225
"343","Augochlorella aurata",1.397,0.301,"USA",0.686,0.07
"344","Andrena vicina",2.413,1.334,"USA",1.767,1.287
"345","Augochlorella aurata",1.397,0.455,"USA",0.686,0.07
"346","Bombus griseocollis",4.0005,3.086,"USA",4.14025,1.98225
"347","Agapostemon virescens",1.3335,1.25,"USA",1.343,1.219
"348","Bombus griseocollis",5.08,3.576,"USA",4.14025,1.98225
"349","Bombus griseocollis",3.81,2.497,"USA",4.14025,1.98225
"350","Ceratina strenua",0.889,0.153,"USA",0.153,0.153
"351","Megachile texana",3.1115,2.351,"USA",2.351,2.351
"352","Augochloropsis metallica",2.0955,0.662,"USA",0.82025,0.56225
"353","Augochloropsis metallica",2.032,0.785,"USA",0.82025,0.56225
"354","Andrena hirticincta",2.4765,0.906,"USA",1.692,0.644
"355","Andrena hirticincta",2.8575,1.43,"USA",1.692,0.644
"356","Agapostemon virescens",2.0955,1.312,"USA",1.343,1.219
"357","Megachile apicalis",2.4765,0.97,"USA",0.97,0.97
"358","Agapostemon sericeus",2.032,0.844,"USA",0.8605,0.8385
"359","Andrena angustior",1.868,0.433,"Spain",0.495,0.331
"360","Andrena angustior",1.755,0.352,"Spain",0.495,0.331
"361","Andrena angustior",1.769,0.434,"Spain",0.495,0.331
"362","Andrena cinerea",1.909,0.456,"Spain",0.456,0.456
"363","Andrena pilipes",2.928,1.532,"Spain",2.395625,0.644625
"364","Andrena pilipes",2.74,1.22,"Spain",2.395625,0.644625
"365","Andrena pilipes",3.033,2.119,"Spain",2.395625,0.644625
"366","Andrena pilipes",2.663,1.47,"Spain",2.395625,0.644625
"367","Andrena pilipes",2.974,1.808,"Spain",2.395625,0.644625
"368","Andrena pilipes",3.198,1.245,"Spain",2.395625,0.644625
"369","Andrena rhyssonota",1.9,0.423,"Spain",0.593375,0.306375
"370","Andrena rhyssonota",1.71,0.411,"Spain",0.593375,0.306375
"371","Andrena rhyssonota",1.995,0.498,"Spain",0.593375,0.306375
"372","Andrena rhyssonota",1.85,0.408,"Spain",0.593375,0.306375
"373","Andrena rhyssonota",2.1,0.449,"Spain",0.593375,0.306375
"374","Anthophora dispar",3.842,4.532,"Spain",4.532,4.532
"375","Eucera rufa",3.816,2.139,"Spain",2.139,2.139
"376","Lasioglossum malachurum",1.641,0.43,"Spain",0.582,0.278
"377","Lasioglossum malachurum",1.492,0.334,"Spain",0.582,0.278
"378","Lasioglossum malachurum",1.309,0.419,"Spain",0.582,0.278
"379","Lasioglossum malachurum",1.344,0.392,"Spain",0.582,0.278
"380","Lasioglossum malachurum",1.374,0.399,"Spain",0.582,0.278
"381","Lasioglossum malachurum",1.3,0.468,"Spain",0.582,0.278
"382","Lasioglossum malachurum",1.607,0.534,"Spain",0.582,0.278
"383","Megachile willughbiella",3.694,1.966,"Spain",1.966,1.966
"384","Nomada agrestis",2.705,2.141,"Spain",2.141,2.141
