Species,Brain.weight,IT,log_brain_weight,log_it,residuals
Lasioglossum fulvicorne,0.3,1.26,-1.2039728043259361,0.23111172096338664,0.12711506746243564
Lasioglossum immunitum,0.4997857142857143,1.8327142857142857,-0.693575843851499,0.6057980842118899,-0.018853115054504595
Lasioglossum leucozonium,0.48000000000000004,2.216666666666667,-0.7339691750802003,0.7960045659996531,-0.3396378838414561
Lasioglossum malachurum,0.42514285714285716,1.4381428571428572,-0.8553300320844679,0.36335259869197295,0.21460487352823382
Lasioglossum punctatissimum,0.29775,1.5625,-1.2115010707467275,0.44628710262841953,-0.2057503393532023
Lasioglossum sexnotatum,0.8176666666666667,2.56,-0.20130052339175747,0.9400072584914712,-0.11653571057524566
Lasioglossum sexstrigatum,0.231,1.26,-1.4653375684603434,0.23111172096338664,-0.0897989901489
Lasioglossum zonulum,0.6316666666666667,2.3066666666666666,-0.45939345013371996,0.8358034809614685,-0.17073809224940248
Megachile apicalis,0.97,2.4765,-0.030459207484708574,0.9068462730461554,-0.07774934150485922
Megachile centuncularis,1.4769999999999999,3.614333333333333,0.3900130035492427,1.2849074218219352,-0.29313179622051516
Megachile pugnata,3,4.08,1.0986122886681098,1.4060969884160703,0.09438699127514633
Megachile rotundata,1.6,2.8594999999999997,0.47000362924573563,1.0506467843732337,0.11120734139035217
Megachile texana,2.351,3.1115,0.8548407695579324,1.1351049250271354,0.2937117438570367
Megachile willughbiella,1.966,3.694,0.6760010217249748,1.3067098817770482,-0.09660305349678237
Nomada agrestis,2.141,2.705,0.7612730096075457,0.9951019122984449,0.09465329993920933
Nomada cressonii,1.76,2.304,0.5653138090500605,0.8346467428336447,0.1641086616432322
Nomada luteoloides,1.7,2.435,0.5306282510621704,0.8899467565345531,0.06514727583633384
Nomada merceti,0.6966666666666667,1.433,-0.3614482226913901,0.3597701488460348,0.12080705615955235
Nomada succincta,1.34,2.057,0.29266961396282004,0.7212486106708201,0.11641970427462764
Osmia atriventris,0.447,2.032,-0.8051966843685682,0.7090205297162355,-0.327824544462715
