"","id","cover","percent","cover2"
"101","Sam Droege","21",1,"21"
"102","Sam Droege","41",1,"41"
"103","John Ascher","21",1,"21"
"104","John Ascher","23",1,"23"
"105","Sam Droege","21",1,"21"
"106","Sam Droege","21",1,"21"
"107","John Ascher","43",1,"43"
"108","Sam Droege","22",1,"22"
"109","Sam Droege","21",1,"21"
"110","Heather Harmon","23",1,"23"
"111","Sam Droege","21",1,"21"
"112","Heather Harmon","22",1,"22"
"113","Sam Droege","43",1,"43"
"114","Tom Wood | Jason Gibbs","43",1,"43"
"115","Tom Wood | Jason Gibbs","81",1,"81"
"116","Tom Wood | Jason Gibbs","21",1,"21"
"117","John Ascher","22",1,"22"
"118","Tom Wood | Jason Gibbs","24",1,"24"
"119","mcevoyi","81",1,"81"
"120","Tom Wood | Jason Gibbs","43",1,"43"
"121","Tom Wood | Jason Gibbs","21",1,"21"
"122","Sam Droege","21",1,"21"
"123","Sam Droege","41",1,"41"
"124","Sam Droege","21",1,"21"
"125","Sam Droege","90",1,"90"
"126","Tom Wood | Jason Gibbs","24",1,"24"
"127","Sam Droege","90",1,"90"
"128","Sam Droege","41",1,"41"
"129","Tom Wood | Jason Gibbs","81",1,"81"
"130","Sam Droege","81",1,"81"
"131","Sam Droege","90",1,"90"
"132","Tom Wood | Jason Gibbs","22",1,"22"
"133","Sam Droege","90",1,"90"
"134","Sam Droege","82",1,"82"
"135","Sam Droege","52",1,"52"
"136","Tom Wood | Jason Gibbs","81",1,"81"
"137","John Ascher","22",1,"22"
"138","Sam Droege","52",1,"52"
"139","Tom Wood | Jason Gibbs","81",1,"81"
"140","Tom Wood | Jason Gibbs","71",1,"71"
"141","kmoulton1","42",1,"42"
"142","Tom Wood | Jason Gibbs","24",1,"24"
"143","Sam Droege","52",1,"52"
"144","John Ascher","22",1,"22"
"145","Sam Droege","43",1,"43"
"146","Sam Droege","43",1,"43"
"147","Sam Droege","21",1,"21"
"148","Brendan Burke","22",1,"22"
"149","Sam Droege","82",1,"82"
"150","Sam Droege","90",1,"90"
"151","John Ascher","21",1,"21"
"152","Tom Wood | Jason Gibbs","81",1,"81"
"153","Sam Droege","82",1,"82"
"154","Rusty Burlew","42",1,"42"
"155","John Ascher","23",1,"23"
"156","Sam Droege","81",1,"81"
"157","John Ascher","23",1,"23"
"158","Sam Droege","90",1,"90"
"159","Sam Droege","43",1,"43"
"160","Sam Droege","52",1,"52"
"161","Sam Droege","43",1,"43"
"162","Rusty Burlew","43",1,"43"
"163","John Ascher","90",1,"90"
"164","Sam Droege","90",1,"90"
"165","John Ascher","23",1,"23"
"166","John Ascher","23",1,"23"
"167","Sam Droege","24",1,"24"
"168","Sam Droege","90",1,"90"
"169","John Ascher","81",1,"81"
"170","John Ascher","22",1,"22"
"171","Sam Droege","21",1,"21"
"172","Heather Harmon","41",1,"41"
"173","Sam Droege","41",1,"41"
"174","Sam Droege","21",1,"21"
"175","John Ascher","23",1,"23"
"176","John Ascher","71",1,"71"
"177","Sam Droege","82",1,"82"
"178","Heather Harmon","41",1,"41"
"179","Sam Droege","11",1,"11"
"180","Ray G. Cama","41",1,"41"
"181","Sam Droege","43",1,"43"
"182","Bernie Paquette","81",1,"81"
"183","John Ascher","90",1,"90"
"184","Sam Droege","52",1,"52"
"185","Tom Wood | Jason Gibbs","43",1,"43"
"186","John Ascher","23",1,"23"
"187","Tom Wood | Jason Gibbs","24",1,"24"
"188","Tom Wood | Jason Gibbs","81",1,"81"
"189","Joshua Lincoln","81",1,"81"
"190","John Ascher","81",1,"81"
"191","John Ascher","23",1,"23"
"192","Tom Wood | Jason Gibbs","81",1,"81"
"193","Tom Wood | Jason Gibbs","43",1,"43"
"194","Tom Wood | Jason Gibbs","81",1,"81"
"195","Tom Wood | Jason Gibbs","41",1,"41"
"196","Sam Droege","22",1,"22"
"197","Tom Wood | Jason Gibbs","43",1,"43"
"198","Tom Wood | Jason Gibbs","43",1,"43"
"199","John Ascher","23",1,"23"
"200","Tom Wood | Jason Gibbs","81",1,"81"
"201","Tom Wood | Jason Gibbs","71",1,"71"
"202","John Ascher","22",1,"22"
"203","Tom Wood | Jason Gibbs","43",1,"43"
"204","John Ascher","22",1,"22"
"205","Tom Wood | Jason Gibbs","81",1,"81"
"206","Sam Droege","81",1,"81"
"207","Tom Wood | Jason Gibbs","22",1,"22"
"208","Tom Wood | Jason Gibbs","81",1,"81"
"209","Tom Wood | Jason Gibbs","21",1,"21"
"210","Tom Wood | Jason Gibbs","43",1,"43"
"211","Tom Wood | Jason Gibbs","24",1,"24"
"212","John Ascher","22",1,"22"
"213","John Ascher","81",1,"81"
"214","Sam Droege","22",1,"22"
"215","John Ascher","41",1,"41"
"216","Tom Wood | Jason Gibbs","21",1,"21"
"217","Tom Wood | Jason Gibbs","71",1,"71"
"218","Tom Wood | Jason Gibbs","21",1,"21"
"219","Tom Wood | Jason Gibbs","81",1,"81"
"220","Tom Wood | Jason Gibbs","24",1,"24"
"221","Sam Droege","41",1,"41"
"222","Tom Wood | Jason Gibbs","81",1,"81"
"223","Tom Wood | Jason Gibbs","21",1,"21"
"224","John Ascher","22",1,"22"
"225","Tom Wood | Jason Gibbs","21",1,"21"
"226","Tom Wood | Jason Gibbs","81",1,"81"
"227","Sam Droege","21",1,"21"
"228","Tom Wood | Jason Gibbs","81",1,"81"
"229","Tom Wood | Jason Gibbs","81",1,"81"
"230","Tom Wood | Jason Gibbs","24",1,"24"
"231","Tom Wood | Jason Gibbs","81",1,"81"
"232","Tom Wood | Jason Gibbs","21",1,"21"
"233","Tom Wood | Jason Gibbs","21",1,"21"
"234","Tom Wood | Jason Gibbs","21",1,"21"
"235","Sam Droege","21",1,"21"
"236","John Ascher","95",1,"95"
"237","Tom Wood | Jason Gibbs","81",1,"81"
"238","Tom Wood | Jason Gibbs","81",1,"81"
"239","John Ascher","22",1,"22"
"240","Tom Wood | Jason Gibbs","22",1,"22"
"241","John Ascher","43",1,"43"
"242","Tom Wood | Jason Gibbs","21",1,"21"
"243","Sam Droege","81",1,"81"
"244","Tom Wood | Jason Gibbs","43",1,"43"
"245","Tom Wood | Jason Gibbs","21",1,"21"
"246","Tom Wood | Jason Gibbs","81",1,"81"
"247","Mark Faherty","22",1,"22"
"248","John Ascher","22",1,"22"
"249","John Ascher","43",1,"43"
"250","Tom Wood | Jason Gibbs","43",1,"43"
"251","Sam Droege","22",1,"22"
"252","Tom Wood | Jason Gibbs","81",1,"81"
"253","Tom Wood | Jason Gibbs","81",1,"81"
"254","Tom Wood | Jason Gibbs","71",1,"71"
"255","John Ascher","41",1,"41"
"256","John Ascher","43",1,"43"
"257","Molly Jacobson","21",1,"21"
"258","Tom Wood | Jason Gibbs","81",1,"81"
"259","John Ascher","22",1,"22"
"260","John Ascher","22",1,"22"
"261","Spencer Hardy","22",1,"22"
"262","John Ascher","41",1,"41"
"263","John Ascher","81",1,"81"
"264","Tom Wood | Jason Gibbs","81",1,"81"
"265","Tom Wood | Jason Gibbs","22",1,"22"
"266","Tom Wood | Jason Gibbs","71",1,"71"
"267","Tom Wood | Jason Gibbs","43",1,"43"
"268","Sam Droege","21",1,"21"
"269","John Ascher","81",1,"81"
"270","Tom Wood | Jason Gibbs","43",1,"43"
"271","Sam Droege","81",1,"81"
"272","Sam Droege","22",1,"22"
"273","John Ascher","24",1,"24"
"274","John Ascher","23",1,"23"
"275","John Ascher","21",1,"21"
"276","John Ascher","24",1,"24"
"277","John Ascher","81",1,"81"
"278","John Ascher","81",1,"81"
"279","John Ascher","21",1,"21"
"280","John Ascher","23",1,"23"
"281","John Ascher","22",1,"22"
"282","Tom Wood | Jason Gibbs","81",1,"81"
"283","John Ascher","43",1,"43"
"284","snakebird15","22",1,"22"
"285","Sam Droege","41",1,"41"
"286","John Ascher","41",1,"41"
"287","John Ascher","90",1,"90"
"288","ZIAD Anass","24",1,"24"
"289","Kyle Testerman","21",1,"21"
"290","Nathaniel Sharp","81",1,"81"
"291","John Ascher","22",1,"22"
"292","Sam Droege","82",1,"82"
"293","snakebird15","22",1,"22"
"294","Sam Droege","52",1,"52"
"295","Sam Droege","21",1,"21"
"296","ZIAD Anass","23",1,"23"
"297","Bernie Paquette","81",1,"81"
"298","Kyle Testerman","43",1,"43"
"299","Spencer Hardy","81",1,"81"
"300","Rusty Burlew","43",1,"43"
"301","John Ascher","81",1,"81"
"302","Adam Kohl","41",1,"41"
"303","Max McCarthy","41",1,"41"
"304","Spencer Hardy","22",1,"22"
"305","sbspaeth","11",1,"11"
"306","Max McCarthy","81",1,"81"
"307","Spencer Hardy","11",1,"11"
"308","Sam Droege","21",1,"21"
"309","rosymaplemoths4","23",1,"23"
"310","Ramóna Molnár","21",1,"21"
"311","Spencer Hardy","43",1,"43"
"312","dougburnham","81",1,"81"
"313","John Ascher","21",1,"21"
"314","Ramóna Molnár","43",1,"43"
"315","John Ascher","22",1,"22"
"316","mautner","23",1,"23"
"317","Bernie Paquette","81",1,"81"
"318","Nick Dorian","81",1,"81"
"319","Spencer Hardy","23",1,"23"
"320","Sam Droege","41",1,"41"
"321","Nathaniel Sharp","81",1,"81"
"322","John Ascher","23",1,"23"
"323","Max McCarthy","43",1,"43"
"324","Spencer Hardy","81",1,"81"
"325","Ray G. Cama","22",1,"22"
"326","Spencer Hardy","23",1,"23"
"327","Sam Droege","22",1,"22"
"328","Molly Jacobson","42",1,"42"
"329","John Ascher","81",1,"81"
"330","John Ascher","41",1,"41"
"331","dougburnham","81",1,"81"
"332","Tom Murray","43",1,"43"
"333","dougburnham","21",1,"21"
"334","J Mollenhauer","82",1,"82"
"335","Nick Dorian","11",1,"11"
"336","klittle2","43",1,"43"
"337","John Ascher","41",1,"41"
"338","Bernie Paquette","81",1,"81"
"339","dougburnham","23",1,"23"
"340","Colleen Prieto","90",1,"90"
"341","solomon hendrix","41",1,"41"
"342","John Ascher","11",1,"11"
"343","Spencer Hardy","23",1,"23"
"344","John Ascher","42",1,"42"
"345","Spencer Hardy","23",1,"23"
"346","Spencer Hardy","23",1,"23"
"347","Spencer Hardy","23",1,"23"
"348","Spencer Hardy","52",1,"52"
"349","Colleen Prieto","42",1,"42"
"350","Rusty Burlew","95",1,"95"
"351","Nathaniel Sharp","81",1,"81"
"352","Spencer Hardy","22",1,"22"
"353","Nathaniel Sharp","81",1,"81"
"354","Joe MacIndewar","23",1,"23"
"355","Nick Dorian","22",1,"22"
"356","John Ascher","81",1,"81"
"357","John Ascher","23",1,"23"
"358","dougburnham","23",1,"23"
"359","Joe MacIndewar","23",1,"23"
"360","John Ascher","23",1,"23"
"361","dougburnham","23",1,"23"
"362","dougburnham","81",1,"81"
"363","Erika Mitchell","42",1,"42"
"364","John Ascher","42",1,"42"
"365","John Ascher","22",1,"22"
"366","dougburnham","23",1,"23"
"367","klittle2","41",1,"41"
"368","Brendan Burke","21",1,"21"
"369","Adam Kohl","21",1,"21"
"370","dougburnham","81",1,"81"
"371","Kyle Testerman","21",1,"21"
"372","Owen Bastille","23",1,"23"
"373","Owen Bastille","23",1,"23"
"374","Brendan Burke","22",1,"22"
"375","John Ascher","23",1,"23"
"376","Nathaniel Sharp","23",1,"23"
"377","John Ascher","41",1,"41"
"378","Spencer Hardy","90",1,"90"
"379","Nathaniel Sharp","41",1,"41"
"380","John Ascher","22",1,"22"
"381","Spencer Hardy","81",1,"81"
"382","Jason Hill","22",1,"22"
"383","btk","41",1,"41"
"384","John Ascher","23",1,"23"
"385","Spencer Hardy","43",1,"43"
"386","Shirley Zundell","22",1,"22"
"387","Julie Filiberti","41",1,"41"
"388","dougburnham","22",1,"22"
"389","dougburnham","41",1,"41"
"390","Jeanine Farley","24",1,"24"
"391","Alex Karasoulos","22",1,"22"
"392","Brendan Burke","22",1,"22"
"393","Spencer Hardy","90",1,"90"
"394","Kyle Testerman","24",1,"24"
"395","Bernie Paquette","81",1,"81"
"396",NA,"21",1,"21"
"397","Spencer Hardy","81",1,"81"
"398","Bill MacIndewar","41",1,"41"
"399","Ray G. Cama","23",1,"23"
"400","Nick Dorian","24",1,"24"
"401","John Ascher","22",1,"22"
"402","Nick Dorian","90",1,"90"
"403","dougburnham","81",1,"81"
"404","Nathaniel Sharp","81",1,"81"
"405","Joe MacIndewar","23",1,"23"
"406","Spencer Hardy","81",1,"81"
"407","ccrowley14","22",1,"22"
"408","Spencer Hardy","23",1,"23"
"409","Sam Droege","21",1,"21"
"410","Nick Dorian","24",1,"24"
"411","Nick Dorian","23",1,"23"
"412","erikschiff","71",1,"71"
"413","Spencer Hardy","81",1,"81"
"414","Spencer Hardy","23",1,"23"
"415","Spencer Hardy","95",1,"95"
"416","Max McCarthy","22",1,"22"
"417","Colleen Prieto","43",1,"43"
"418","Stan Rullman, PhD","90",1,"90"
"419","Spencer Hardy","23",1,"23"
"420","John Ascher","24",1,"24"
"421","Spencer Hardy","23",1,"23"
"422","Colleen Prieto","24",1,"24"
"423","dougburnham","23",1,"23"
"424","seankent","23",1,"23"
"425","Spencer Hardy","23",1,"23"
"426","Charles Brown","81",1,"81"
"427","erikschiff","41",1,"41"
"428","Matt Pelikan","71",1,"71"
"429","Sam Droege","31",1,"31"
"430","rosymaplemoths4","41",1,"41"
"431","Spencer Hardy","21",1,"21"
"432","Nathaniel Sharp","95",1,"95"
"433","Spencer Hardy","23",1,"23"
"434","Tom Wood | Jason Gibbs","22",1,"22"
"435","Spencer Hardy","43",1,"43"
"436","Spencer Hardy","41",1,"41"
"437","Spencer Hardy","21",1,"21"
"438","Max McCarthy","41",1,"41"
"439","Spencer Hardy","22",1,"22"
"440","bdagley","21",1,"21"
"441","Tom Wood | Jason Gibbs","81",1,"81"
"442","John Ascher","23",1,"23"
"443","Spencer Hardy","21",1,"21"
"444","Spencer Hardy","22",1,"22"
"445","Spencer Hardy","41",1,"41"
"446","Tom Wood | Jason Gibbs","81",1,"81"
"447","Spencer Hardy","43",1,"43"
"448","Tom Wood | Jason Gibbs","22",1,"22"
"449","Spencer Hardy","22",1,"22"
"450","Max McCarthy","24",1,"24"
"451","John Ascher","21",1,"21"
"452","Spencer Hardy","21",1,"21"
"453","John Ascher","22",1,"22"
"454","Tom Wood | Jason Gibbs","24",1,"24"
"455","Max McCarthy","21",1,"21"
"456","Tom Wood | Jason Gibbs","71",1,"71"
"457","Nathaniel Sharp","52",1,"52"
"458","Spencer Hardy","41",1,"41"
"459","Tom Wood | Jason Gibbs","22",1,"22"
"460","Tom Wood | Jason Gibbs","22",1,"22"
"461","Spencer Hardy","21",1,"21"
"462","Spencer Hardy","21",1,"21"
"463","Max McCarthy","23",1,"23"
"464","John Ascher","43",1,"43"
"465","John Ascher","22",1,"22"
"466","Spencer Hardy","23",1,"23"
"467","Spencer Hardy","23",1,"23"
"468","Tom Wood | Jason Gibbs","71",1,"71"
"469","Tom Wood | Jason Gibbs","43",1,"43"
"470","John Ascher","23",1,"23"
"471","dougburnham","81",1,"81"
"472","Spencer Hardy","21",1,"21"
"473","Tom Wood | Jason Gibbs","21",1,"21"
"474","Tom Wood | Jason Gibbs","43",1,"43"
"475","klittle2","24",1,"24"
"476","Spencer Hardy","43",1,"43"
"477","Spencer Hardy","43",1,"43"
"478","Sam Droege","22",1,"22"
"479","Max McCarthy","21",1,"21"
"480","John Ascher","43",1,"43"
"481","Spencer Hardy","41",1,"41"
"482","Nathaniel Sharp","41",1,"41"
"483","John Ascher","41",1,"41"
"484","Sam Droege","42",1,"42"
"485","dougburnham","23",1,"23"
"486","John Ascher","21",1,"21"
"487","John Ascher","23",1,"23"
"488","Sam Droege","43",1,"43"
"489","Tom Wood | Jason Gibbs","21",1,"21"
"490","Nathaniel Sharp","41",1,"41"
"491","Molly Jacobson","22",1,"22"
"492","Ray G. Cama","90",1,"90"
"493","John Ascher","41",1,"41"
"494","Tom Wood | Jason Gibbs","21",1,"21"
"495","Max McCarthy","41",1,"41"
"496","Max McCarthy","90",1,"90"
"497","Tom Wood | Jason Gibbs","21",1,"21"
"498","John Ascher","41",1,"41"
"499","Tom Wood | Jason Gibbs","81",1,"81"
"500","Tom Wood | Jason Gibbs","22",1,"22"
"501","Tom Wood | Jason Gibbs","22",1,"22"
"502","Spencer Hardy","21",1,"21"
"503","Spencer Hardy","81",1,"81"
"504","Spencer Hardy","24",1,"24"
"505","John Ascher","42",1,"42"
"506","Tom Wood | Jason Gibbs","43",1,"43"
"507","John Ascher","42",1,"42"
"508","duwe18","43",1,"43"
"509","Spencer Hardy","41",1,"41"
"510","Tom Wood | Jason Gibbs","81",1,"81"
"511","Tom Wood | Jason Gibbs","81",1,"81"
"512","Tom Wood | Jason Gibbs","43",1,"43"
"513","Spencer Hardy","42",1,"42"
"514","Nathaniel Sharp","41",1,"41"
"515","Nathaniel Sharp","41",1,"41"
"516","Mr. Hudson","22",1,"22"
"517","Spencer Hardy","41",1,"41"
"518","Tom Wood | Jason Gibbs","24",1,"24"
"519","Bill MacIndewar","41",1,"41"
"520","Tom Wood | Jason Gibbs","81",1,"81"
"521","John Ascher","22",1,"22"
"522","John Ascher","43",1,"43"
"523","Tom Wood | Jason Gibbs","24",1,"24"
"524","John Ascher","41",1,"41"
"525","Tom Wood | Jason Gibbs","43",1,"43"
"526","John Ascher","23",1,"23"
"527","John Ascher","22",1,"22"
"528","Tom Wood | Jason Gibbs","43",1,"43"
"529","John Ascher","24",1,"24"
"530","Tom Wood | Jason Gibbs","21",1,"21"
"531",NA,"43",1,"43"
"532","John Ascher","24",1,"24"
"533","ali_ciarletta","21",1,"21"
"534","Spencer Hardy","43",1,"43"
"535","John Ascher","21",1,"21"
"536","Tom Wood | Jason Gibbs","22",1,"22"
"537","Tom Wood | Jason Gibbs","22",1,"22"
"538","Tom Wood | Jason Gibbs","43",1,"43"
"539","John Ascher","81",1,"81"
"540","Nathaniel Sharp","23",1,"23"
"541","leif_richardson","90",1,"90"
"542","Sam Droege","23",1,"23"
"543","Sam Droege","23",1,"23"
"544","Sam Droege","23",1,"23"
"545","Sam Droege","21",1,"21"
"546","Spencer Hardy","82",1,"82"
"547","Sam Droege","90",1,"90"
"548","John Ascher","21",1,"21"
"549","Sam Droege","41",1,"41"
"550","Sam Droege","23",1,"23"
"551","Sam Droege","43",1,"43"
"552","Sam Droege","22",1,"22"
"553","Sam Droege","21",1,"21"
"554","Sam Droege","95",1,"95"
"555","Sam Droege","22",1,"22"
"556","Sam Droege","41",1,"41"
"557","Max McCarthy","21",1,"21"
"558","Sam Droege","23",1,"23"
"559","Sam Droege","23",1,"23"
"560","Sam Droege","21",1,"21"
"561","Sam Droege","41",1,"41"
"562","Sam Droege","41",1,"41"
"563","Sam Droege","22",1,"22"
"564","Sam Droege","41",1,"41"
"565","Sam Droege","23",1,"23"
"566","Sam Droege","82",1,"82"
"567","Sam Droege","81",1,"81"
"568","Sam Droege","41",1,"41"
"569","Sam Droege","41",1,"41"
"570","Sam Droege","23",1,"23"
"571","Sam Droege","41",1,"41"
"572","Sam Droege","21",1,"21"
"573","Sam Droege","22",1,"22"
"574","Sam Droege","21",1,"21"
"575","Sam Droege","21",1,"21"
"576","Sam Droege","21",1,"21"
"577","Sam Droege","21",1,"21"
"578","Jelle Devalez","23",1,"23"
"579","Sam Droege","11",1,"11"
"580","Sam Droege","90",1,"90"
"581","Sam Droege","90",1,"90"
"582","Sam Droege","90",1,"90"
"583","Sam Droege","41",1,"41"
"584","Sam Droege","23",1,"23"
"585","Sam Droege","90",1,"90"
"586","Cathy Stragar","82",1,"82"
"587","Sam Droege","41",1,"41"
"588","Sam Droege","82",1,"82"
"589","Sam Droege","41",1,"41"
"590","Sam Droege","81",1,"81"
"591","Sam Droege","21",1,"21"
"592","Sam Droege","82",1,"82"
"593","Sam Droege","23",1,"23"
"594","Sam Droege","43",1,"43"
"595","Sam Droege","21",1,"21"
"596","Sam Droege","21",1,"21"
"597","Sam Droege","22",1,"22"
"598","Sam Droege","23",1,"23"
"599","Sam Droege","41",1,"41"
"600","Sam Droege","41",1,"41"
"601","Sam Droege","41",1,"41"
"602","Sam Droege","43",1,"43"
"603","Sam Droege","41",1,"41"
"604","Sam Droege","43",1,"43"
"605","Sam Droege","41",1,"41"
"606","Sam Droege","22",1,"22"
"607","Sam Droege","82",1,"82"
"608","Sam Droege","82",1,"82"
"609","Sam Droege","41",1,"41"
"610","Sam Droege","82",1,"82"
"611","Sam Droege","82",1,"82"
"612","Sam Droege","41",1,"41"
"613","Sam Droege","81",1,"81"
"614","Sam Droege","21",1,"21"
"615","Sam Droege","22",1,"22"
"616","Sam Droege","21",1,"21"
"617","Sam Droege","21",1,"21"
"618","Sam Droege","43",1,"43"
"619","Sam Droege","95",1,"95"
"620","Sam Droege","82",1,"82"
"621","John Ascher","41",1,"41"
"622","Sam Droege","41",1,"41"
"623","Sam Droege","22",1,"22"
"624","Sam Droege","90",1,"90"
"625","Sam Droege","82",1,"82"
"626","Sam Droege","21",1,"21"
"627","Sam Droege","21",1,"21"
"628","Sam Droege","41",1,"41"
"629","Sam Droege","23",1,"23"
"630","Sam Droege","21",1,"21"
"631","Sam Droege","41",1,"41"
"632","Tim McMahon","21",1,"21"
"633","Sam Droege","82",1,"82"
"634","Sam Droege","90",1,"90"
"635","Sam Droege","41",1,"41"
"636","Sam Droege","41",1,"41"
"637","Sam Droege","52",1,"52"
"638","Sam Droege","24",1,"24"
"639","Sam Droege","23",1,"23"
"640","Sam Droege","41",1,"41"
"641","Sam Droege","23",1,"23"
"642","Sam Droege","41",1,"41"
"643","Sam Droege","21",1,"21"
"644","Sam Droege","21",1,"21"
"645","Sam Droege","71",1,"71"
"646","Sam Droege","52",1,"52"
"647","Tom Wood | Jason Gibbs","21",1,"21"
"648","Sam Droege","52",1,"52"
"649","Sam Droege","23",1,"23"
"650","Sam Droege","42",1,"42"
"651","Sam Droege","41",1,"41"
"652","John Ascher","21",1,"21"
"653","Sam Droege","22",1,"22"
"654","Sam Droege","41",1,"41"
"655","Sam Droege","82",1,"82"
"656","Sam Droege","81",1,"81"
"657","Sam Droege","41",1,"41"
"658","Sam Droege","41",1,"41"
"659","Sam Droege","43",1,"43"
"660","Sam Droege","41",1,"41"
"661","Sam Droege","41",1,"41"
"662","Sam Droege","71",1,"71"
"663","Sam Droege","21",1,"21"
"664","Sam Droege","41",1,"41"
"665","Sam Droege","21",1,"21"
"666","Sam Droege","42",1,"42"
"667","Sam Droege","82",1,"82"
"668","Sam Droege","82",1,"82"
"669","Sam Droege","21",1,"21"
"670","Sam Droege","41",1,"41"
"671","Sam Droege","41",1,"41"
"672","John Ascher","81",1,"81"
"673","Sam Droege","41",1,"41"
"674","Sam Droege","21",1,"21"
"675","Sam Droege","21",1,"21"
"676","Sam Droege","41",1,"41"
"677","Sam Droege","82",1,"82"
"678","Sam Droege","71",1,"71"
"679","Sam Droege","90",1,"90"
"680","Sam Droege","81",1,"81"
"681","Sam Droege","82",1,"82"
"682","Sam Droege","22",1,"22"
"683","Sam Droege","22",1,"22"
"684","Sam Droege","41",1,"41"
"685","Sam Droege","22",1,"22"
"686","Sam Droege","41",1,"41"
"687","Tom Wood | Jason Gibbs","81",1,"81"
"688","Leah Larkin","11",1,"11"
"689","Sam Droege","95",1,"95"
"690","Sam Droege","21",1,"21"
"691","Sam Droege","90",1,"90"
"692","Sam Droege","21",1,"21"
"693","Spencer Hardy","23",1,"23"
"694","klittle2","43",1,"43"
"695","John Ascher","21",1,"21"
"696","Brendan Burke","22",1,"22"
"697","Nick Dorian","23",1,"23"
"698","John Ascher","41",1,"41"
"699","John Ascher","42",1,"42"
"700","Steve King","21",1,"21"
"701","Steve King","21",1,"21"
"702","Max McCarthy","41",1,"41"
"703","John Ascher","43",1,"43"
"704","Claire O'Neill","11",1,"11"
