Species,Brain.weight,IT,residuals
Lasioglossum malachurum,0.4247777777777778,1.4346666666666668,0.17415944330279923
Lasioglossum punctatissimum,0.29775,1.5625,-0.341662309354123
Lasioglossum quebecensis,0.36333333333333334,1.2911666666666666,0.21609363537698983
Lasioglossum sexnotatum,0.8176666666666667,2.56,-0.2599056304677104
Lasioglossum sexstrigatum,0.231,1.26,-0.19086014409264213
Lasioglossum zonulum,0.657,2.285,-0.26497330968845245
Megachile apicalis,0.9045,2.25425,0.08020339428768038
Megachile campanulae,0.822,2.286,-0.04173973177800227
Megachile centuncularis,1.3815,3.329875,-0.22987207816410365
Megachile gemula,1.4075,2.95275,0.014805908178225701
Megachile inimica,1.88,2.9845,0.2841500453171882
Megachile mendica,1.803,2.8575,0.32410424008970945
Megachile pugnata,3,6.43,-0.691877599285036
Megachile rotundata,1.391,3.1667,-0.12853349963893157
Megachile sculpturalis,3.854,4.7625,0.1231530570653781
Megachile texana,2.351,3.1115,0.4293532694977952
Megachile willughbiella,1.966,3.694,-0.07219068232853212
Melissodes bimaculata,1.8415,2.5717499999999998,0.5433638672896078
Nomada agrestis,2.141,2.705,0.5990620584009931
Nomada cressonii,1.76,3.34,0.006562570798531706
Nomada discrepans,0.25,1.236,-0.07565223929714028
Nomada luteoloides,1.7,3.53,-0.13216588007282842
Nomada merceti,0.6966666666666667,1.433,0.6710862162098996
Nomada succincta,1.34,2.057,0.6454415244779687
Osmia atriventris,0.447,2.032,-0.4294297904592833
Osmia bicornis,1.2553529411764706,3.085058823529412,-0.18202212155063519
Osmia bucephala,1.4209999999999998,3.048,-0.03535195125298186
Osmia caerulescens,0.704421052631579,2.139894736842105,-0.0719022023481536
Osmia cornifrons,0.877,2.746375,-0.3220052258081794
Osmia cornuta,1.7993932584269663,3.410741573033708,-0.010715110372438438
Osmia lateralis,1.73,2.622,0.4445155468934352
Osmia latreillei,1.3238333333333334,2.9888333333333335,-0.06931857675333229
Osmia leaiana,1.1025,2.7655,-0.10622655394058156
Osmia lignaria,1.1735,3.46075,-0.46554578390212364
Osmia pumila,0.6040000000000001,1.80975,0.08940827285428062
Osmia submicans,0.5840000000000001,2.079,-0.2050879605915301
Panurgus banksianus,1.63,2.379,0.5678668450297626
Panurgus calcaratus,0.53,1.646375,0.13663107304333702
Panurgus dargius,0.5013333333333334,1.7786666666666666,-0.06431551239083551
Psithyrus vestalis,2.341,3.57,0.1665950297010238
Ptilothrix bombiformis,2.129,3.3655,0.18259851785854855
Rhodanthidium sticticum,2.5214230769230768,3.5208846153846154,0.26689156441174255
Sphecodes ranunculi,0.364,1.651,-0.24436738176879413
Stelis breviuscula,0.4433333333333333,1.9656666666666667,-0.37525419439880986
Systropha planidens,0.92,2.405,-0.024535265956954603
Xylocopa cantabrita,4.2989999999999995,5.206111111111111,0.06494526389378703
Xylocopa valga,7.43,7.024,0.048877596081003206
Xylocopa violacea,6.777666666666667,5.911111111111111,0.2813701587611876
Xylocopa virginica,5.3,7.848571428571429,-0.4976751513530174
