"","Species","IT","Brain.weight","residuals","Brain.IT","original.trends","source","f.trend","Bartomeus.Estimate","Bartomeus.SE"
"88","Andrena nitida",3.42,1.612,-0.133893091930726,0.471345029239766,"1.21","Scheper","increasing",NA,NA
"89","Andrena nitida",2.73,1.924,0.459086491050886,0.704761904761905,"1.21","Scheper","increasing",NA,NA
"90","Andrena nitida",2.67,2.513,0.767188525753757,0.941198501872659,"1.21","Scheper","increasing",NA,NA
"91","Andrena nitida",2.46,1.707,0.531694325044852,0.69390243902439,"1.21","Scheper","increasing",NA,NA
"92","Andrena nubecula",1.27,0.437,0.389822185006155,0.344094488188976,"declining","Bartomeus","declining",-0.0068,0.0029
"93","Andrena nubecula",1.397,0.394,0.110266351377366,0.282032927702219,"declining","Bartomeus","declining",-0.0068,0.0029
"94","Andrena ovatula",2.71,0.771,-0.441810787862219,0.28450184501845,"0.48","Scheper","declining",NA,NA
"95","Andrena ovatula",2.57,0.734,-0.393056014367205,0.285603112840467,"0.48","Scheper","declining",NA,NA
"96","Andrena ovatula",2.8,0.734,-0.551311008101728,0.262142857142857,"0.48","Scheper","declining",NA,NA
"97","Andrena pilipes",2.928,1.532,0.101978265074891,0.523224043715847,"0.25","Scheper","declining",NA,NA
"98","Andrena pilipes",2.809,0.806,-0.463661392224253,0.286934852260591,"0.25","Scheper","declining",NA,NA
"99","Andrena pilipes",2.974,1.808,0.238844479719452,0.607935440484196,"0.25","Scheper","declining",NA,NA
"100","Andrena pilipes",2.663,1.47,0.235820576275104,0.552009012392039,"0.25","Scheper","declining",NA,NA
"101","Andrena pilipes",2.74,1.22,-0.00321974046628822,0.445255474452555,"0.25","Scheper","declining",NA,NA
"102","Andrena pilipes",3.033,2.119,0.361297589998679,0.698648203099242,"0.25","Scheper","declining",NA,NA
"103","Andrena pilipes",3.198,1.245,-0.268317234674941,0.389305816135084,"0.25","Scheper","declining",NA,NA
"104","Andrena pruni",1.7145,0.709,0.31965396743393,0.413531641878099,"increasing","Bartomeus","increasing",0.022,0.0039
"105","Andrena pruni",1.778,0.642,0.153240261559752,0.361079865016873,"increasing","Bartomeus","increasing",0.022,0.0039
"106","Andrena pruni",1.7145,0.67,0.263076153286814,0.390784485272674,"increasing","Bartomeus","increasing",0.022,0.0039
"107","Andrena pruni",1.8415,0.621,0.0551930660780713,0.33722508824328,"increasing","Bartomeus","increasing",0.022,0.0039
"108","Andrena rugosa",1.524,0.603,0.375181376349944,0.395669291338583,"stable","Bartomeus","stable",0.002,0.0029
"109","Andrena rugosa",1.4605,0.388,0.0128483904534568,0.265662444368367,"stable","Bartomeus","stable",0.002,0.0029
"110","Andrena rugosa",1.651,0.555,0.144447457832839,0.336159903089037,"stable","Bartomeus","stable",0.002,0.0029
"111","Andrena semilaevis",1.51,0.3,-0.305913971601621,0.198675496688742,"0.95","Scheper","declining",NA,NA
"112","Andrena semilaevis",1.64,0.254,-0.624843849644457,0.154878048780488,"0.95","Scheper","declining",NA,NA
"113","Andrena simplex",3.53,0.7,-1.02649337445566,0.198300283286119,"stable","Bartomeus","stable",-0.0033,0.004
"114","Andrena simplex",1.7145,0.593,0.140992839899528,0.345873432487606,"stable","Bartomeus","stable",-0.0033,0.004
"115","Andrena simplex",1.651,0.341,-0.342638178630079,0.206541490006057,"stable","Bartomeus","stable",-0.0033,0.004
"116","Andrena simplex",3.65,0.9,-0.836900285332177,0.246575342465753,"stable","Bartomeus","stable",-0.0033,0.004
"117","Andrena simplex",3.21,0.4,-1.41065857867369,0.124610591900312,"stable","Bartomeus","stable",-0.0033,0.004
"118","Andrena subopaca",1.77,0.358,-0.422488886979946,0.20225988700565,"1.99","Scheper","increasing",NA,NA
"119","Andrena subopaca",1.86,0.267,-0.807345276976141,0.143548387096774,"1.99","Scheper","increasing",NA,NA
"120","Andrena subopaca",1.91,0.405,-0.439683872427035,0.212041884816754,"1.99","Scheper","increasing",NA,NA
"121","Andrena tibialis",3.57,1.357,-0.385345929388966,0.380112044817927,"0.53","Scheper","declining",NA,NA
"122","Andrena tibialis",2.97,1.938,0.310764690935346,0.652525252525253,"0.53","Scheper","declining",NA,NA
"123","Andrena vicina",2.9845,1.578,0.0962742889186125,0.528731780867817,"stable","Bartomeus","stable",-0.0026,0.0019
"124","Andrena vicina",2.4765,1.609,0.460227209992192,0.649707248132445,"stable","Bartomeus","stable",-0.0026,0.0019
"125","Andrena vicina",2.8575,1.467,0.103623205880357,0.513385826771654,"stable","Bartomeus","stable",-0.0026,0.0019
"126","Andrena vicina",2.9845,1.587,0.101961508039202,0.531747361367063,"stable","Bartomeus","stable",-0.0026,0.0019
"127","Anthidium manicatum",3.15,2.66,0.518795626338545,0.844444444444445,"0.99","Scheper","declining",NA,NA
"128","Anthidium manicatum",2.71,1.11,-0.0773838671191689,0.409594095940959,"0.99","Scheper","declining",NA,NA
"129","Anthidium manicatum",3.048,2.559,0.540861192330312,0.839566929133858,"0.99","Scheper","declining",NA,NA
"130","Anthidium manicatum",5.38,2.8,-0.41822274624345,0.520446096654275,"0.99","Scheper","declining",NA,NA
"131","Anthidium manicatum",2.903,2.3,0.524145387558101,0.792283844299001,"0.99","Scheper","declining",NA,NA
"132","Anthidium manicatum",5.23,3.3,-0.201710991404006,0.630975143403442,"0.99","Scheper","declining",NA,NA
"133","Anthidium manicatum",3.066,2.02,0.293470722862415,0.65883887801696,"0.99","Scheper","declining",NA,NA
"134","Anthidium manicatum",3.556,2.339,0.166355901001735,0.657761529808774,"0.99","Scheper","declining",NA,NA
"135","Anthidium manicatum",5.31,2.7,-0.430409925927055,0.508474576271187,"0.99","Scheper","declining",NA,NA
"136","Anthidium manicatum",2.365,1.67,0.582494922510199,0.706131078224101,"0.99","Scheper","declining",NA,NA
"137","Anthophora plumipes",4.08,3.676,0.364660573639071,0.900980392156863,"1.29","Scheper","increasing",NA,NA
"138","Anthophora quadrimaculata",3.77,2.593,0.161551129273061,0.687798408488064,"1.02","Scheper","increasing",NA,NA
"139","Anthophora quadrimaculata",3.95,1.852,-0.261111895489331,0.468860759493671,"1.02","Scheper","increasing",NA,NA
"140","Anthophora retusa",3.923,2.096,-0.124683486568384,0.534284985980117,"0.22","Scheper","declining",NA,NA
"141","Augochlora pura",1.8415,0.614,0.043856912291735,0.333423839261472,"increasing","Bartomeus","increasing",0.0057,0.0024
"142","Augochlora pura",3.15,0.5,-1.15267767701501,0.158730158730159,"increasing","Bartomeus","increasing",0.0057,0.0024
"143","Augochlora pura",1.5875,0.61,0.311352476279134,0.384251968503937,"increasing","Bartomeus","increasing",0.0057,0.0024
"144","Augochlora pura",1.651,0.71,0.390744314121766,0.430042398546336,"increasing","Bartomeus","increasing",0.0057,0.0024
"145","Augochlora pura",1.4605,0.496,0.258418977555111,0.339609722697706,"increasing","Bartomeus","increasing",0.0057,0.0024
"146","Augochlorella aurata",1.397,0.455,0.254212861030383,0.325697924123121,"increasing","Bartomeus","increasing",0.0042,0.0021
"147","Augochlorella aurata",1.524,0.705,0.531461982435027,0.46259842519685,"increasing","Bartomeus","increasing",0.0042,0.0021
"148","Augochlorella aurata",1.524,0.3,-0.322953345721041,0.196850393700787,"increasing","Bartomeus","increasing",0.0042,0.0021
"149","Augochlorella aurata",1.4605,0.353,-0.0816888922365198,0.241698048613489,"increasing","Bartomeus","increasing",0.0042,0.0021
"150","Augochlorella aurata",1.397,0.301,-0.158974293171692,0.21546170365068,"increasing","Bartomeus","increasing",0.0042,0.0021
"151","Augochloropsis metallica",2.032,0.785,0.107793355039527,0.386318897637795,"increasing","Bartomeus","increasing",0.0064,0.0025
"152","Augochloropsis metallica",2.0955,0.662,-0.119439283070155,0.315915056072536,"increasing","Bartomeus","increasing",0.0064,0.0025
"153","Augochloropsis metallica",1.778,0.656,0.17481274681388,0.368953880764904,"increasing","Bartomeus","increasing",0.0064,0.0025
"154","Bombus bimaculatus",4.826,3.641,0.0450570722341021,0.75445503522586,"increasing","Bartomeus","increasing",0.009,0.0016
"155","Bombus bimaculatus",5.1435,3.633,-0.0747826314158256,0.706328375619714,"increasing","Bartomeus","increasing",0.009,0.0016
"156","Bombus griseocollis",5.08,3.576,-0.0676605207004994,0.703937007874016,"increasing","Bartomeus","increasing",0.0245,0.0031
"157","Bombus griseocollis",3.81,2.497,0.104339175651509,0.655380577427822,"increasing","Bartomeus","increasing",0.0245,0.0031
"158","Bombus griseocollis",4.0005,3.086,0.226042428619706,0.771403574553181,"increasing","Bartomeus","increasing",0.0245,0.0031
"159","Bombus hortorum",4.56,4.787,0.42338063202957,1.04978070175439,"0.74","Scheper","declining",NA,NA
"160","Bombus impatiens",4,2.7,0.0926492238647164,0.675,"increasing","Bartomeus","increasing",0.0067,0.0013
"161","Bombus impatiens",3.683,2.634,0.220346042995584,0.715177844148792,"increasing","Bartomeus","increasing",0.0067,0.0013
"162","Bombus impatiens",4.85,3,-0.157748141375428,0.618556701030928,"increasing","Bartomeus","increasing",0.0067,0.0013
"163","Bombus impatiens",3.92,2.4,0.0121669475790184,0.612244897959184,"increasing","Bartomeus","increasing",0.0067,0.0013
"164","Bombus impatiens",4.62,2.7,-0.173406813641552,0.584415584415584,"increasing","Bartomeus","increasing",0.0067,0.0013
"165","Bombus impatiens",2.794,2.322,0.604324780885035,0.831066571224052,"increasing","Bartomeus","increasing",0.0067,0.0013
"166","Bombus impatiens",5.61,2,-0.831986468924346,0.35650623885918,"increasing","Bartomeus","increasing",0.0067,0.0013
"167","Bombus impatiens",4.69,3.2,-0.0312725826320694,0.682302771855011,"increasing","Bartomeus","increasing",0.0067,0.0013
"168","Bombus impatiens",3.1115,2.387,0.433212081369058,0.767154105736783,"increasing","Bartomeus","increasing",0.0067,0.0013
"169","Bombus jonellus",4.13,2.512,-0.0385743909977588,0.608232445520581,"0.28","Scheper","declining",NA,NA
"170","Bombus jonellus",4.22,2.325,-0.155736155427958,0.550947867298578,"0.28","Scheper","declining",NA,NA
"171","Bombus jonellus",4.35,2.348,-0.20191111058005,0.539770114942529,"0.28","Scheper","declining",NA,NA
"172","Bombus jonellus",3.37,2.017,0.117434837606759,0.598516320474777,"0.28","Scheper","declining",NA,NA
"173","Bombus lapidarius",5.11,4.258,0.0960227647561623,0.833268101761252,"0.6","Scheper","declining",NA,NA
"174","Bombus lapidarius",4.97,5.075,0.322839821113713,1.02112676056338,"0.6","Scheper","declining",NA,NA
"175","Bombus lapidarius",5.15,4.474,0.13110969374539,0.86873786407767,"0.6","Scheper","declining",NA,NA
"176","Bombus lapidarius",5.15,4.655,0.170768741406482,0.903883495145631,"0.6","Scheper","declining",NA,NA
"177","Bombus pascuorum",4.35,3.932,0.31367318973902,0.903908045977012,"0.61","Scheper","declining",NA,NA
"178","Bombus pascuorum",4.39,4.937,0.524382730645401,1.1246013667426,"0.61","Scheper","declining",NA,NA
"179","Bombus pascuorum",4.105,3.11,0.186179350481331,0.757612667478684,"0.61","Scheper","declining",NA,NA
"180","Bombus pascuorum",3.834,2.89,0.238911752141002,0.75378195096505,"0.61","Scheper","declining",NA,NA
"181","Bombus pascuorum",3.197,1.944,0.177872369063929,0.608070065686581,"0.61","Scheper","declining",NA,NA
"182","Bombus pascuorum",3.943,3.15,0.273299291750654,0.798884098402232,"0.61","Scheper","declining",NA,NA
"183","Bombus pascuorum",4.329,2.52,-0.122281234589041,0.582120582120582,"0.61","Scheper","declining",NA,NA
"184","Bombus pascuorum",4.012,2.15,-0.140665389497807,0.535892323030907,"0.61","Scheper","declining",NA,NA
"185","Bombus pascuorum",3.748,2.44,0.111539530963544,0.651013874066169,"0.61","Scheper","declining",NA,NA
"186","Bombus pascuorum",3.378,2.056,0.13220815348012,0.608644168146832,"0.61","Scheper","declining",NA,NA
"187","Bombus pascuorum",4.33,3.871,0.306546283283241,0.893995381062356,"0.61","Scheper","declining",NA,NA
"188","Bombus pascuorum",2.981,1.932,0.300838305515781,0.64810466286481,"0.61","Scheper","declining",NA,NA
"189","Bombus pascuorum",3.492,1.76,-0.084521418116857,0.504009163802978,"0.61","Scheper","declining",NA,NA
"190","Bombus pascuorum",3.658,2.493,0.177904723911924,0.681519956260252,"0.61","Scheper","declining",NA,NA
"191","Bombus pratorum",3.475,1.945,0.0244371083776848,0.559712230215827,"0.92","Scheper","declining",NA,NA
"192","Bombus pratorum",3.714,1.68,-0.244839339067064,0.452342487883683,"0.92","Scheper","declining",NA,NA
"193","Bombus pratorum",3.576,2.16,0.0763854492795262,0.604026845637584,"0.92","Scheper","declining",NA,NA
"194","Bombus pratorum",3.646,1.79,-0.14729967068108,0.490948985189249,"0.92","Scheper","declining",NA,NA
"195","Bombus pratorum",2.539,1.07,0.00625513656642141,0.421425758172509,"0.92","Scheper","declining",NA,NA
"196","Bombus pratorum",2.861,1.3,-0.0194921101547074,0.454386578119539,"0.92","Scheper","declining",NA,NA
"197","Bombus pratorum",4.11,3.626,0.33743923203461,0.882238442822384,"0.92","Scheper","declining",NA,NA
"198","Bombus pratorum",3.853,2.36,0.0271897082703239,0.612509732675837,"0.92","Scheper","declining",NA,NA
"199","Bombus pratorum",3.714,1.89,-0.127056303410681,0.508885298869144,"0.92","Scheper","declining",NA,NA
"200","Bombus pratorum",3.562,1.911,-0.0388535797774782,0.536496350364964,"0.92","Scheper","declining",NA,NA
"201","Bombus pratorum",3.604,2.5,0.208167581679281,0.693673695893452,"0.92","Scheper","declining",NA,NA
"202","Bombus pratorum",4.44,3.278,0.0939484476677865,0.738288288288288,"0.92","Scheper","declining",NA,NA
"203","Bombus pratorum",3.829,1.84,-0.210169775970084,0.48054322277357,"0.92","Scheper","declining",NA,NA
"204","Bombus pratorum",4.35,3.121,0.0826784507427419,0.717471264367816,"0.92","Scheper","declining",NA,NA
"205","Bombus pratorum",3.165,1.833,0.137652316755929,0.57914691943128,"0.92","Scheper","declining",NA,NA
"206","Bombus pratorum",3.635,2.06,-0.0012305168640416,0.566712517193948,"0.92","Scheper","declining",NA,NA
"207","Bombus pratorum",3.28,2.348,0.319366240832759,0.715853658536585,"0.92","Scheper","declining",NA,NA
"208","Bombus ternarius",3.429,2.12,0.135194985115626,0.618256051326918,"declining","Bartomeus","declining",-0.0142,0.0024
"209","Bombus ternarius",2.413,1.57,0.483649145853257,0.650642353916287,"declining","Bartomeus","declining",-0.0142,0.0024
"210","Bombus ternarius",3.4925,2.271,0.170120689933967,0.65025053686471,"declining","Bartomeus","declining",-0.0142,0.0024
"211","Bombus terrestris",4.641,2.71,-0.178083321174249,0.583925878043525,"0.73","Scheper","declining",NA,NA
"212","Bombus terrestris",4.281,3.08,0.0989758739107972,0.719458070544265,"0.73","Scheper","declining",NA,NA
"213","Bombus terrestris",4.126,2.94,0.120545016296991,0.71255453223461,"0.73","Scheper","declining",NA,NA
"214","Bombus terrestris",3.675,2.401,0.131742599031085,0.653333333333333,"0.73","Scheper","declining",NA,NA
"215","Bombus terrestris",4.468,2.75,-0.093291050569273,0.615487914055506,"0.73","Scheper","declining",NA,NA
"216","Bombus terrestris",4.281,3.774,0.302181723871673,0.881569726699369,"0.73","Scheper","declining",NA,NA
"217","Bombus terrestris",4.725,3.606,0.0744483472394671,0.763174603174603,"0.73","Scheper","declining",NA,NA
"218","Bombus terrestris",4.374,3.214,0.101882633316656,0.734796524919982,"0.73","Scheper","declining",NA,NA
"219","Bombus terrestris",4.385,2.99,0.0250023328351635,0.681870011402509,"0.73","Scheper","declining",NA,NA
"220","Bombus terrestris",3.732,2.58,0.175229618323289,0.691318327974277,"0.73","Scheper","declining",NA,NA
"221","Bombus terrestris",3.766,3.425,0.441797099701041,0.909453000531067,"0.73","Scheper","declining",NA,NA
"222","Bombus terrestris",4.332,1.993,-0.358178156097572,0.460064635272392,"0.73","Scheper","declining",NA,NA
"223","Bombus terrestris",4.493,4.8,0.453421926978031,1.06832851101714,"0.73","Scheper","declining",NA,NA
"224","Bombus terrestris",3.519,2.484,0.24581413650212,0.705882352941176,"0.73","Scheper","declining",NA,NA
"225","Bombus terrestris",3.803,2.609,0.151611488301973,0.68603733894294,"0.73","Scheper","declining",NA,NA
"226","Bombus terrestris",4.282,3.543,0.238588869642786,0.827417094815507,"0.73","Scheper","declining",NA,NA
"227","Bombus terrestris",4.205,3.245,0.184233612930775,0.771700356718193,"0.73","Scheper","declining",NA,NA
"228","Bombus terrestris",3.853,2.59,0.120185964944252,0.672203477809499,"0.73","Scheper","declining",NA,NA
"229","Bombus terrestris",5.42,4.678,0.0813519622663411,0.86309963099631,"0.73","Scheper","declining",NA,NA
"230","Bombus terrestris",4.012,1.718,-0.364972408075314,0.428215353938185,"0.73","Scheper","declining",NA,NA
"231","Bombus terrestris",4.336,3.52,0.208937754513148,0.811808118081181,"0.73","Scheper","declining",NA,NA
"232","Bombus terrestris",4.45,3.542,0.167252793388516,0.795955056179775,"0.73","Scheper","declining",NA,NA
"233","Bombus terrestris",3.912,3.569,0.412755514658325,0.912321063394683,"0.73","Scheper","declining",NA,NA
"234","Bombus terrestris",4.92,3.806,0.0537608266542714,0.773577235772358,"0.73","Scheper","declining",NA,NA
"235","Bombus terrestris",5.5,5.838,0.275816704656435,1.06145454545455,"0.73","Scheper","declining",NA,NA
"236","Bombus terrestris",3.927,4.234,0.576551314639842,1.07817672523555,"0.73","Scheper","declining",NA,NA
"237","Bombus terrestris",4.68,2.17,-0.415755295339527,0.463675213675214,"0.73","Scheper","declining",NA,NA
"238","Bombus terrestris",4.235,2.571,-0.0617123959114094,0.607083825265643,"0.73","Scheper","declining",NA,NA
