Species,Brain.weight,IT,log_brain_weight,log_it,residuals
Andrena haemorrhoa,1.1656,2.436,0.153235975898858,0.8903573498476506,0.18796713627393408
Andrena hippotes,0.57,1.9685,-0.5621189181535413,0.6772718314016551,-0.1267385782622229
Andrena hirticincta,1.168,2.667,0.15529288440603525,0.9809542451998772,0.019681301387276532
Andrena hispania,2.361,2.9625,0.859085258103376,1.0860335064612496,0.5259007939448247
Andrena labiata,0.5800000000000001,2.2333333333333334,-0.5447271754416719,0.8034952377288107,-0.3466755125506959
Andrena milwaukeensis,1.0025,2.286,0.002496880198587146,0.8268035653726189,0.156723592363246
Andrena miserabilis,0.4545,2.0549999999999997,-0.7885573653646035,0.7202758479481978,-0.43403434544006586
Andrena morio,0.55,3.04,-0.5978370007556204,1.1118575154181303,-0.9795764679751447
Andrena nasonii,0.3305,1.27,-1.1071486196903961,0.23901690047049992,0.15225054502319932
Andrena nigriceps,0.814,2.62,-0.20579491297959682,0.9631743177730056,-0.30797619351987043
Andrena nigroaenea,1.7126666666666666,3.5733333333333333,0.5380516100195821,1.2734988669745462,-0.14761031682681594
Andrena nitida,1.9736,2.808,0.67985928623301,1.0324724861635646,0.447381707238778
Andrena nubecula,0.4155,1.3335,-0.8782726646866342,0.28780706463993183,0.28938990813885573
Andrena ovatula,0.7463333333333333,2.6933333333333334,-0.29258295105149196,0.9907795838648943,-0.4466684026996948
Andrena pilipes,1.4571428571428573,2.9064285714285716,0.3764775712349122,1.0669250323983401,0.07922137902531727
Andrena pruni,0.6605,1.762125,-0.4147581550197571,0.5665204671089524,0.22885990819400093
Andrena rhyssonota,0.4663333333333333,1.9115,-0.7628545929847655,0.6478882741543304,-0.2722264906539135
Andrena rugosa,0.5153333333333333,1.5451666666666666,-0.6629413385028795,0.43513177939679026,0.22771730406838603
Andrena semilaevis,0.277,1.575,-1.2837377727947985,0.4542552722775964,-0.42903564096183305
Andrena simplex,0.5868,2.7511,-0.5330712327133105,1.0120008316998068,-0.7270574509428114
Andrena subopaca,0.3433333333333333,1.8466666666666667,-1.0690534864265653,0.6133822120910828,-0.5135461489660841
Andrena tibialis,1.6475,3.27,0.49925898739452523,1.184789984909162,-0.01961008992133653
Andrena varians,1.17,2.52,0.1570037488096647,0.9242589015233319,0.12799229090525593
Andrena vicina,1.56025,2.82575,0.4448460648320153,1.0387738160887034,0.2005205541586163
Andrena wilkella,1.0102499999999999,2.286,0.010197824976445877,0.8268035653726189,0.16442453714110475
Anthidium florentinum,4.6850000000000005,4.307,1.5443659156903857,1.4602416060719736,0.5075852185697796
Anthidium manicatum,2.3458,3.6718,0.8526264951052677,1.3006820050439682,0.11585409372443574
Anthidium oblongatum,1.7525714285714287,3.071857142857143,0.5610840971966918,1.1222823112279383,0.15974364574189912
Anthophora bimaculata,1.48,2.82,0.3920420877760237,1.0367368849500223,0.15154647035579075
Anthophora plumipes,3.752,3.9930000000000003,1.3222890311439781,1.3845428280810843,0.4278392324983825
Anthophora quadrimaculata,2.2225,3.8600000000000003,0.7986326884059226,1.3506671834767396,-0.03212320313939165
Anthophora retusa,2.096,3.923,0.7400307664587957,1.3668566672274156,-0.12116503216609681
Anthopora dispar,4.532,3.842,1.5111633431657598,1.345993064346365,0.6891958573657212
Augochlora pura,0.586,1.9381,-0.5344354894051245,0.6617081117245649,-0.06979182104210917
Augochlorella aurata,0.35225,1.444625,-1.0434141282033473,0.3678497723134684,-0.026250028430067452
Augochloropsis metallica,0.7010000000000001,1.9685,-0.35524739194754684,0.6772718314016551,0.08013294794377157
Bombus griseocollis,3.053,4.296833333333334,1.1161247137527408,1.4578783172901866,0.0837875363902494
Bombus hypnorum,2.29,3.37,0.8285518175661483,1.2149127443642704,0.25304510974179667
Bombus impatiens,2.5936666666666666,4.142055555555555,0.9530725759666834,1.4211921756201773,-0.0102863213751928
Bombus jonellus,2.3005,4.0175,0.8331264906133863,1.3906598186295307,-0.07282463980837492
Bombus lucorum,2.4,4.861,0.8754687373538999,1.5812441780633184,-0.3888242822428771
Bombus muscorum,2.1822222222222223,3.8116666666666665,0.7803437255901005,1.3380665388066348,-0.026720091593376395
Bombus pascuorum,2.4040909090909093,3.697909090909091,0.8771718317195728,1.3077675493499112,0.12707699748030374
Bombus pratorum,2.0264166666666665,3.5877499999999998,0.7062690444379218,1.2775252650689042,0.01303657453127754
Bombus ternarius,1.987,3.1115,0.6866259635696799,1.1351049250271354,0.2611760853675036
Bombus terrestris,3.052811320754717,4.228792452830189,1.1160629105834547,1.4419164801590942,0.11373761294316424
Bombus vagans,1.179,2.794,0.16466662155523393,1.02747426083477,-0.058413158416225075
Calliopsis andreniformis,0.365,1.524,-1.0078579253996456,0.42133845726445457,-0.09126470390708134
Ceratina calcarata,0.332,1.7061666666666668,-1.1026203100656484,0.5342491387095788,-0.39832481865591884
Ceratina strenua,0.153,0.889,-1.8773173575897015,-0.11765804346823246,0.05271172456369372
Chelostoma philadephi,0.253,1.2065,-1.374365790254617,0.1877236060829493,-0.018523580227899464
Colletes hylaeiformis,1.35,2.311,0.30010459245033816,0.8376803312922436,0.43388051390304017
Colletes thoracicus,1.5213333333333332,3.2808333333333333,0.4195871433317194,1.1880974551676458,-0.10550072940017947
Dasypoda cingulata,1.44,2.820333333333333,0.36464311358790924,1.036855081274254,0.12392526022845965
Dasypoda crassicornis,1.07,2.588,0.06765864847381486,0.9508853766386541,-0.011416631158897643
Dasypoda hirtipes,0.47,2.957,-0.7550225842780328,1.08417524087034,-1.0847130869991723
Dasypoda iberica,1.115,2.4909999999999997,0.10885440491208208,0.9126842362800432,0.10160594698401414
Dufourea novaeangliae,0.332,1.4181666666666666,-1.1026203100656484,0.3493649576393652,-0.05070055966580473
Eucera elongatula,1.5899999999999999,2.846,0.46373401623214006,1.0459144996676606,0.20598239834151433
Eucera notata,1.69925,3.3365,0.5301869772446105,1.204922353361524,-0.02653552606182026
Eucera rufa,2.139,3.816,0.7603384301002685,1.33920275358604,-0.048861728972806495
Flavipanurgus venustus,0.5534,1.7896,-0.5916742116293116,0.5819921311937828,0.02285360853768962
Halictus confusus,0.41840000000000005,1.7855,-0.8713173662314238,0.5796984880523661,-0.25247697593101603
Halictus ligatus,0.689,2.4988571428571427,-0.37251400796847856,0.9158334844953607,-0.38568376792946585
Halictus quadricinctus,1.55,2.895,0.4382549309311553,1.0629851110249586,0.14840668590218434
Halictus rubicundus,0.83875,2.313875,-0.1758425906962455,0.8389236082977121,-0.04440431243856233
Heriades carinatus,0.269,1.2065,-1.313043899380298,0.1877236060829493,0.04279831064641947
Heriades rubicola,0.42,1.229,-0.8675005677047231,0.20620083058389785,0.4536002629451568
Hoplitis papaveris,0.9533333333333334,2.376333333333333,-0.04779066383634844,0.8655586834673816,0.033567622637256274
Hoplitis pilosiformis,0.48,1.5875,-0.7339691750802004,0.4621604517847096,0.10586942352652082
Hylaeus leptocephalus,0.183,0.9525,-1.6982691261407161,-0.04866517198128101,0.10203768508922244
Hylaeus mesillae,0.34,1.76,-1.0788096613719298,0.5653138090500605,-0.43292280690113355
