"","Species","Brain.weight","IT","residuals","Habitat","Preference"
"175","Anthidium_manicatum",2.3458,3.6718,0.115770251284145,"Urban",1
"176","Anthidium_oblongatum",1.75257142857143,3.07185714285714,0.15970960329648,"Urban",1
"177","Augochlora_pura",0.586,1.9381,-0.0696972949217295,"Urban",1e-04
"178","Augochlorella_aurata",0.35225,1.444625,-0.026073472214891,"Urban",0
"179","Augochloropsis_metallica",0.701,1.9685,0.080223129476201,"Urban",0
"180","Bombus_griseocollis",3.053,4.29683333333333,0.0836598128458149,"Urban",1
"181","Bombus_impatiens",2.59366666666667,4.14205555555556,-0.0104038040406887,"Urban",1
"182","Bombus_ternarius",1.987,3.1115,0.261138463509543,"Urban",0
"183","Bombus_vagans",1.179,2.794,-0.0584207353429976,"Urban",0.0654
"184","Calliopsis_andreniformis",0.365,1.524,-0.0911030789744605,"Urban",0
"185","Ceratina_calcarata",0.332,1.70616666666667,-0.398194712563026,"Urban",0
"186","Ceratina_strenua",0.153,0.889,0.0530238095245676,"Urban",0
"187","Colletes_thoracicus",1.52133333333333,3.28083333333333,-0.105553144039858,"Urban",0.909
"188","Halictus_confusus",0.4184,1.7855,-0.252359556952746,"Urban",0
"189","Halictus_ligatus",0.689,2.49885714285714,-0.38566018050853,"Urban",1
"190","Halictus_rubicundus",0.83875,2.313875,-0.0443592557462495,"Urban",0.9518
"191","Hylaeus_mesillae",0.34,1.76,-0.432801372462269,"Urban",0.0228
"192","Hylaeus_modestus",0.31,2.08,-0.839320952911581,"Urban",0.9999
"193","Lasioglossum_coriaceum",0.742,1.905,0.198725954331003,"Urban",0
"194","Lasioglossum_leucozonium",0.48,2.21666666666667,-0.521776310270077,"Urban",0.031
"195","Megachile_campanulae",0.822,2.286,-0.0417397317780023,"Urban",0.9423
"196","Megachile_mendica",1.803,2.8575,0.324104240089709,"Urban",2e-04
"197","Megachile_pugnata",3,6.43,-0.691877599285036,"Urban",0.8625
"198","Megachile_rotundata",1.391,3.1667,-0.128533499638932,"Urban",1
"199","Megachile_sculpturalis",3.854,4.7625,0.123153057065378,"Urban",1
"200","Nomada_cressonii",1.76,3.34,0.00656257079853171,"Urban",0
"201","Nomada_luteoloides",1.7,3.53,-0.132165880072828,"Urban",0
"202","Osmia_atriventris",0.447,2.032,-0.429429790459283,"Urban",0
"203","Osmia_bucephala",1.421,3.048,-0.0353519512529819,"Urban",0
"204","Osmia_cornifrons",0.877,2.746375,-0.322005225808179,"Urban",0.8304
"205","Osmia_lignaria",1.1735,3.46075,-0.465545783902124,"Urban",0.4868
"206","Osmia_pumila",0.604,1.80975,0.0894082728542806,"Urban",0
"207","Ptilothrix_bombiformis",2.129,3.3655,0.182598517858549,"Urban",0
"208","Xylocopa_virginica",5.3,7.84857142857143,-0.497675151353017,"Urban",1
"209","Andrena_angustior",0.406333333333333,1.79733333333333,-0.294045495522293,"Agricultural",0
"210","Andrena_barbilabris",0.983,2.28,0.142071194081394,"Agricultural",0
"211","Andrena_bicolor",0.7025,2.205,-0.130993473787811,"Agricultural",0
"212","Andrena_carantonica",1.8105,2.775,0.383347353774812,"Agricultural",0
"213","Andrena_chrysosceles",0.831,1.8525,0.364559004456993,"Agricultural",0
"214","Andrena_cineraria",1.6334,2.724,0.315290221971901,"Agricultural",0
"215","Andrena_dorsata",0.7176,2.262,-0.157720599563025,"Agricultural",0
"216","Andrena_flavipes",1.17966666666667,2.57211111111111,0.0977512911768199,"Agricultural",0
"217","Andrena_fucata",0.701,2.66,-0.485911365135228,"Agricultural",1e-04
"218","Andrena_fulva",1.59133333333333,2.76,0.264509013876433,"Agricultural",0
"219","Andrena_gravida",1.59425,2.635,0.353496942785333,"Agricultural",0
"220","Andrena_haemorrhoa",1.1656,2.436,0.18799783531792,"Agricultural",0
"221","Andrena_labiata",0.58,2.23333333333333,-0.346620566084276,"Agricultural",0
"222","Andrena_nigroaenea",1.71266666666667,3.57333333333333,-0.147686571136726,"Agricultural",0
"223","Andrena_nitida",1.9736,2.808,0.44737273506524,"Agricultural",0
"224","Andrena_ovatula",0.746333333333333,2.69333333333333,-0.446665736364914,"Agricultural",0
"225","Andrena_pilipes",1.45714285714286,2.90642857142857,0.0792027894775054,"Agricultural",0
"226","Andrena_semilaevis",0.277,1.575,-0.428883204706523,"Agricultural",0.1245
"227","Andrena_subopaca",0.343333333333333,1.84666666666667,-0.513438132746577,"Agricultural",0
"228","Andrena_tibialis",1.6475,3.27,-0.0196615812858776,"Agricultural",0
