Species,Brain.weight,IT,log_brain_weight,log_it,residuals,Habitat,Preference,brain_it
Bombus_muscorum,2.1822222222222223,3.8116666666666665,0.7803437255901005,1.3380665388066348,-0.05682932394382261,Natural,1,0.5725112957294856
Bombus_pascuorum,2.4040909090909093,3.697909090909091,0.8771718317195728,1.3077675493499112,0.05125537734164261,Natural,1,0.6501216903901468
Bombus_pratorum,2.0848,3.5056,0.7346729273884436,1.254361689859065,0.00984219586093547,Natural,1,0.594705613874943
Bombus_terrestris,2.8842,4.1262,1.0592475651458328,1.4173568865717083,0.04594030268374573,Natural,1,0.6989966555183946
Dasypoda_hirtipes,0.47,2.957,-0.7550225842780328,1.08417524087034,-0.4548669364619663,Natural,1,0.1589448765640852
Halictus_confusus,0.4184000000000001,1.7855,-0.8713173662314238,0.5796984880523661,-0.10411848486698348,Natural,1,0.23433211985438257
Halictus_rubicundus,0.83875,2.313875,-0.1758425906962455,0.8389236082977121,0.1259438620823332,Natural,1,0.36248716979093515
Lasioglossum_calceatum,0.6563333333333333,1.8916666666666664,-0.4210864890111212,0.6374582746993567,0.2012776609232421,Natural,1,0.3469603524229075
Lasioglossum_fulvicorne,0.3,1.26,-1.203972804325936,0.23111172096338664,0.11303517870037091,Natural,1,0.23809523809523808
Lasioglossum_leucozonium,0.48,2.216666666666667,-0.7339691750802003,0.7960045659996531,-0.30737409001637056,Natural,1,0.21654135338345862
Lasioglossum_punctatissimum,0.29775,1.5625,-1.2115010707467275,0.44628710262841953,-0.2113816677987543,Natural,1,0.19056
Lasioglossum_sexnotatum,0.8176666666666667,2.56,-0.20130052339175747,0.9400072584914712,-0.05229296857199195,Natural,1,0.31940104166666666
Lasioglossum_sexstrigatum,0.231,1.26,-1.4653375684603434,0.23111172096338664,-0.11489573465588604,Natural,1,0.18333333333333335
Lasioglossum_zonulum,0.657,2.285,-0.4200712604975265,0.8263660243461681,-0.07940373729904887,Natural,1,0.287527352297593
Megachile_centuncularis,1.3815,3.329875,0.32316986538133413,1.2029347657502638,-0.1082773776033123,Natural,0,0.41488043845489697
Megachile_rotundata,1.6,4.074999999999999,0.4700036292457356,1.404870746692826,-0.2705515222385485,Natural,0,0.392638036809816
Nomada_succincta,1.34,2.057,0.29266961396282004,0.7212486106708201,0.27703811892444524,Natural,1,0.6514341273699563
