brain_it,Habitat,Preference,Species,cond__,effect1__,effect2__,estimate__,se__,lower__,upper__
0.19784632981483374,Seminatural,0.4589041095890411,NA,1,0.19784632981483374,Seminatural,0.089840626378729,0.06363707005273918,0.014728560351970373,0.29402007968315863
0.19784632981483374,Urban,0.4589041095890411,NA,1,0.19784632981483374,Urban,0.015589686409966066,0.016912050414353178,8.187173491525392e-4,0.12344168641195495
0.20428204050251295,Agricultural,0.4589041095890411,NA,1,0.20428204050251295,Agricultural,0.8986188492781848,0.07241897769995854,0.6861886417674463,0.9819705267250457
0.20428204050251295,Natural,0.4589041095890411,NA,1,0.20428204050251295,Natural,0.8815144018962819,0.07503093883114155,0.6683738024428602,0.9729714299681214
0.20428204050251295,Seminatural,0.4589041095890411,NA,1,0.20428204050251295,Seminatural,0.09370532787681969,0.06518358092417915,0.01601370509548697,0.2952644404893659
0.20428204050251295,Urban,0.4589041095890411,NA,1,0.20428204050251295,Urban,0.016455421956781416,0.017670704855580012,8.97618907462846e-4,0.12500582165331767
0.21071775119019215,Agricultural,0.4589041095890411,NA,1,0.21071775119019215,Agricultural,0.8952809527474357,0.07334078133059029,0.6821515567707932,0.9808761728739293
0.21071775119019215,Natural,0.4589041095890411,NA,1,0.21071775119019215,Natural,0.877419367430696,0.07575629480704364,0.6653351994045997,0.9711908843566069
0.21071775119019215,Seminatural,0.4589041095890411,NA,1,0.21071775119019215,Seminatural,0.09753779787844007,0.06627569427240684,0.017388371275608418,0.2985115434405109
0.21071775119019215,Urban,0.4589041095890411,NA,1,0.21071775119019215,Urban,0.017415709591423963,0.018473473715465455,9.854667811121517e-4,0.12758189091011024
0.21715346187787132,Agricultural,0.4589041095890411,NA,1,0.21715346187787132,Agricultural,0.8918191419480441,0.07447657326090187,0.681638494688948,0.9795499540476847
0.21715346187787132,Natural,0.4589041095890411,NA,1,0.21715346187787132,Natural,0.8733159030013522,0.07666173236920752,0.6615653197037905,0.9694506872737233
0.21715346187787132,Seminatural,0.4589041095890411,NA,1,0.21715346187787132,Seminatural,0.1017852374123388,0.06751681012510263,0.01862216383090793,0.3045694722773035
0.21715346187787132,Urban,0.4589041095890411,NA,1,0.21715346187787132,Urban,0.01837700566642262,0.01929891666343771,0.0010843463040587059,0.12991939027694657
0.22358917256555053,Agricultural,0.4589041095890411,NA,1,0.22358917256555053,Agricultural,0.888363030201238,0.07553005630870885,0.6789284694657376,0.9781906147325949
0.22358917256555053,Natural,0.4589041095890411,NA,1,0.22358917256555053,Natural,0.8692561311232988,0.07752506128982772,0.6590609625778568,0.9676761687377282
0.22358917256555053,Seminatural,0.4589041095890411,NA,1,0.22358917256555053,Seminatural,0.10648072913051598,0.06877222366965514,0.020356205570571093,0.31067372996385095
0.22358917256555053,Urban,0.4589041095890411,NA,1,0.22358917256555053,Urban,0.019416342536140097,0.020133564158178303,0.001202434853010793,0.13271358389048388
0.2300248832532297,Agricultural,0.4589041095890411,NA,1,0.2300248832532297,Agricultural,0.8848449395364905,0.07664270466905544,0.6750547674197086,0.9766044541292761
0.2300248832532297,Natural,0.4589041095890411,NA,1,0.2300248832532297,Natural,0.8649736803508838,0.07838646731933512,0.6548630221389546,0.9653697617371054
0.2300248832532297,Seminatural,0.4589041095890411,NA,1,0.2300248832532297,Seminatural,0.11101148429817112,0.06972880849814543,0.022120503696399712,0.3154740507216888
0.2300248832532297,Urban,0.4589041095890411,NA,1,0.2300248832532297,Urban,0.020471099019730765,0.021012928883746347,0.0013333710508927812,0.13540586970708357
0.2364605939409089,Agricultural,0.4589041095890411,NA,1,0.2364605939409089,Agricultural,0.8812175441917462,0.07744300865838492,0.6709664865636673,0.9752130531873946
0.2364605939409089,Natural,0.4589041095890411,NA,1,0.2364605939409089,Natural,0.8603896254435546,0.07902193458951641,0.6514693379465346,0.963127698619337
0.2364605939409089,Seminatural,0.4589041095890411,NA,1,0.2364605939409089,Seminatural,0.11590108703678531,0.07080631635070626,0.024083462120831227,0.3190819509647529
0.2364605939409089,Urban,0.4589041095890411,NA,1,0.2364605939409089,Urban,0.021618174704551532,0.02181279569952747,0.0014685053786380835,0.13649597830444066
0.24289630462858808,Agricultural,0.4589041095890411,NA,1,0.24289630462858808,Agricultural,0.8774533442648287,0.07814812272213326,0.6667915277579437,0.9734056863317302
0.24289630462858808,Natural,0.4589041095890411,NA,1,0.24289630462858808,Natural,0.855570744388072,0.07959643804934693,0.6486828618191992,0.9610597356125008
0.24289630462858808,Seminatural,0.4589041095890411,NA,1,0.24289630462858808,Seminatural,0.1210745957661052,0.07212627044469745,0.02625631960862513,0.32580799352298456
0.24289630462858808,Urban,0.4589041095890411,NA,1,0.24289630462858808,Urban,0.022925825328273617,0.022778820195018725,0.0016086282197371395,0.13958687721484347
0.24933201531626728,Agricultural,0.4589041095890411,NA,1,0.24933201531626728,Agricultural,0.8733788443104308,0.07906644201374846,0.664970884155831,0.9719770240863137
0.24933201531626728,Natural,0.4589041095890411,NA,1,0.24933201531626728,Natural,0.850974607434406,0.0801050432661895,0.6450587604259471,0.9587280613100223
0.24933201531626728,Seminatural,0.4589041095890411,NA,1,0.24933201531626728,Seminatural,0.12628272661628753,0.07334209189935362,0.028261793069998403,0.33177832016280223
0.24933201531626728,Urban,0.4589041095890411,NA,1,0.24933201531626728,Urban,0.024313885211117166,0.0237499007200174,0.001762189106262861,0.1424770429046286
0.2557677260039465,Agricultural,0.4589041095890411,NA,1,0.2557677260039465,Agricultural,0.8693590160199016,0.07960170243464358,0.6600139986673597,0.9701603837059093
0.2557677260039465,Natural,0.4589041095890411,NA,1,0.2557677260039465,Natural,0.8461487647235735,0.08072280476968167,0.6412191091417815,0.9561358322162905
0.2557677260039465,Seminatural,0.4589041095890411,NA,1,0.2557677260039465,Seminatural,0.13138388793811184,0.07431446353712377,0.030611071605627777,0.338206735462613
0.2557677260039465,Urban,0.4589041095890411,NA,1,0.2557677260039465,Urban,0.025600337681232068,0.024671437259474575,0.001930870723393515,0.14491287464830097
0.26220343669162566,Agricultural,0.4589041095890411,NA,1,0.26220343669162566,Agricultural,0.8651766896113038,0.08002764173326113,0.6568322819273896,0.9678434782159168
